,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2081,0.3350,0.4562,0.6658,0.8165,0.7860,0.2127,0.3319,0.4612,0.6654,0.8165,0.7963
DecisionTreeRegressor,0.3002,0.3826,0.5479,0.5178,0.7386,0.7197,0.2406,0.3450,0.4905,0.6216,0.7905,0.7686
RandomForestRegressor,0.2137,0.3399,0.4623,0.6567,0.8104,0.7799,0.2140,0.3313,0.4626,0.6634,0.8147,0.7949
GradientBoostingRegressor,0.2343,0.3599,0.4840,0.6237,0.7934,0.7527,0.2354,0.3575,0.4852,0.6297,0.7979,0.7684
AdaBoostRegressor,0.4143,0.5214,0.6436,0.3347,0.6245,0.5801,0.4018,0.5117,0.6338,0.3681,0.6506,0.6240
XGBRegressor,0.2108,0.3351,0.4592,0.6613,0.8138,0.7864,0.2052,0.3226,0.4530,0.6773,0.8231,0.8038
ExtraTreesRegressor,0.2074,0.3338,0.4554,0.6669,0.8167,0.7879,0.2144,0.3320,0.4630,0.6627,0.8143,0.7942
LinearRegression,0.3818,0.4423,0.6179,0.3868,0.6326,0.6569,0.3556,0.4337,0.5963,0.4407,0.6652,0.6717
KNeighborsRegressor,0.2819,0.3852,0.5310,0.5472,0.7464,0.7176,0.2808,0.3757,0.5299,0.5583,0.7514,0.7487
SVR,0.2469,0.3561,0.4969,0.6035,0.7800,0.7546,0.2535,0.3581,0.5035,0.6012,0.7787,0.7616
MLPRegressor,0.2503,0.3624,0.5003,0.5979,0.7802,0.7571,0.2584,0.3547,0.5084,0.5935,0.7765,0.7774
