,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2067,0.3340,0.4546,0.6681,0.8179,0.7871,0.2121,0.3322,0.4605,0.6664,0.8172,0.7972
DecisionTreeRegressor,0.3124,0.3871,0.5589,0.4982,0.7275,0.7098,0.2333,0.3428,0.4830,0.6330,0.7967,0.7763
RandomForestRegressor,0.2132,0.3404,0.4617,0.6576,0.8110,0.7815,0.2150,0.3323,0.4637,0.6618,0.8137,0.7940
GradientBoostingRegressor,0.2325,0.3595,0.4822,0.6266,0.7947,0.7568,0.2342,0.3564,0.4840,0.6316,0.7985,0.7739
AdaBoostRegressor,0.4098,0.5204,0.6401,0.3418,0.6298,0.5700,0.4009,0.5114,0.6332,0.3694,0.6507,0.6175
XGBRegressor,0.2141,0.3378,0.4627,0.6562,0.8107,0.7836,0.2074,0.3235,0.4554,0.6738,0.8211,0.8026
ExtraTreesRegressor,0.2060,0.3329,0.4538,0.6692,0.8181,0.7891,0.2137,0.3306,0.4623,0.6639,0.8150,0.7950
LinearRegression,0.3712,0.4354,0.6093,0.4038,0.6460,0.6723,0.3504,0.4280,0.5919,0.4489,0.6726,0.6902
KNeighborsRegressor,0.2851,0.3869,0.5339,0.5421,0.7427,0.7138,0.2868,0.3799,0.5355,0.5490,0.7459,0.7395
SVR,0.2469,0.3549,0.4969,0.6034,0.7804,0.7566,0.2515,0.3561,0.5015,0.6043,0.7810,0.7644
MLPRegressor,0.2594,0.3634,0.5093,0.5833,0.7698,0.7563,0.2719,0.3581,0.5214,0.5724,0.7660,0.7668
