,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3005,0.4050,0.5482,0.5173,0.7208,0.6961,0.2861,0.3924,0.5349,0.5500,0.7468,0.7296
DecisionTreeRegressor,0.6533,0.5714,0.8083,-0.0494,0.4907,0.4974,0.3569,0.4341,0.5974,0.4387,0.6705,0.6505
RandomForestRegressor,0.3069,0.4080,0.5540,0.5070,0.7159,0.6953,0.2951,0.3985,0.5432,0.5358,0.7381,0.7278
GradientBoostingRegressor,0.3280,0.4201,0.5727,0.4732,0.6910,0.6709,0.3188,0.4135,0.5646,0.4986,0.7122,0.6983
AdaBoostRegressor,0.4864,0.5651,0.6974,0.2188,0.5392,0.5233,0.4653,0.5539,0.6822,0.2681,0.5878,0.5684
XGBRegressor,0.3270,0.4213,0.5718,0.4748,0.6910,0.6642,0.2820,0.3895,0.5310,0.5565,0.7475,0.7240
ExtraTreesRegressor,0.2977,0.4038,0.5456,0.5219,0.7276,0.7054,0.2876,0.3945,0.5363,0.5476,0.7474,0.7330
LinearRegression,0.3950,0.4651,0.6285,0.3655,0.6156,0.6191,0.3963,0.4598,0.6295,0.3767,0.6195,0.6349
KNeighborsRegressor,0.4539,0.4920,0.6737,0.2710,0.5498,0.5236,0.4413,0.4808,0.6643,0.3059,0.5644,0.5568
SVR,0.3817,0.4306,0.6178,0.3869,0.6300,0.6401,0.3945,0.4307,0.6281,0.3795,0.6277,0.6464
MLPRegressor,0.4607,0.5116,0.6788,0.2600,0.5691,0.5481,0.4105,0.4588,0.6407,0.3544,0.6130,0.6440
