,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.5281,0.5465,0.7267,0.1517,0.3910,0.3672,0.5146,0.5420,0.7174,0.1905,0.4396,0.3997
DecisionTreeRegressor,1.0368,0.7546,1.0182,-0.6653,0.1814,0.1934,0.6440,0.6004,0.8025,-0.0129,0.3122,0.2977
RandomForestRegressor,0.5372,0.5520,0.7329,0.1372,0.3867,0.3493,0.5251,0.5451,0.7246,0.1741,0.4191,0.3823
GradientBoostingRegressor,0.5315,0.5499,0.7291,0.1463,0.3824,0.3429,0.5355,0.5533,0.7318,0.1578,0.3982,0.3624
AdaBoostRegressor,0.6713,0.6705,0.8193,-0.0781,0.2821,0.2395,0.6582,0.6681,0.8113,-0.0353,0.3336,0.2801
XGBRegressor,0.5887,0.5803,0.7673,0.0544,0.3364,0.3062,0.5295,0.5446,0.7277,0.1671,0.4164,0.3879
ExtraTreesRegressor,0.5592,0.5634,0.7478,0.1018,0.3602,0.3227,0.5382,0.5518,0.7336,0.1535,0.4006,0.3599
LinearRegression,0.5920,0.5851,0.7694,0.0492,0.2221,0.2716,0.6024,0.5909,0.7762,0.0524,0.2296,0.2748
KNeighborsRegressor,0.6819,0.6218,0.8258,-0.0953,0.2461,0.2299,0.6266,0.5942,0.7916,0.0145,0.2907,0.2584
SVR,0.5471,0.5421,0.7396,0.1213,0.3788,0.3632,0.5474,0.5389,0.7399,0.1390,0.4060,0.3898
MLPRegressor,0.5284,0.5502,0.7269,0.1513,0.3897,0.3658,0.5320,0.5508,0.7294,0.1632,0.4058,0.3863
