,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3006,0.4035,0.5483,0.5172,0.7209,0.6974,0.2860,0.3913,0.5348,0.5501,0.7469,0.7269
DecisionTreeRegressor,0.6253,0.5636,0.7907,-0.0043,0.5119,0.5086,0.3545,0.4337,0.5954,0.4424,0.6716,0.6522
RandomForestRegressor,0.3062,0.4078,0.5534,0.5081,0.7165,0.6958,0.2948,0.3985,0.5430,0.5363,0.7382,0.7281
GradientBoostingRegressor,0.3265,0.4193,0.5714,0.4755,0.6929,0.6709,0.3193,0.4132,0.5651,0.4978,0.7117,0.6981
AdaBoostRegressor,0.4845,0.5638,0.6961,0.2218,0.5460,0.5215,0.4644,0.5533,0.6814,0.2696,0.5916,0.5695
XGBRegressor,0.3339,0.4245,0.5779,0.4637,0.6841,0.6573,0.2832,0.3896,0.5321,0.5546,0.7458,0.7200
ExtraTreesRegressor,0.2968,0.4027,0.5448,0.5233,0.7288,0.7070,0.2882,0.3950,0.5369,0.5466,0.7468,0.7308
LinearRegression,0.3948,0.4646,0.6284,0.3658,0.6159,0.6201,0.3942,0.4591,0.6278,0.3800,0.6215,0.6357
KNeighborsRegressor,0.4510,0.4896,0.6716,0.2756,0.5536,0.5313,0.4402,0.4772,0.6635,0.3076,0.5658,0.5627
SVR,0.3822,0.4302,0.6182,0.3862,0.6294,0.6401,0.3944,0.4289,0.6280,0.3796,0.6276,0.6482
MLPRegressor,0.4408,0.5007,0.6640,0.2919,0.5932,0.5644,0.3831,0.4471,0.6190,0.3974,0.6445,0.6636
