,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1105,0.2403,0.3324,0.8225,0.9070,0.8895,0.2700,0.3644,0.5197,0.5753,0.7635,0.7513
DecisionTreeRegressor,0.2245,0.3415,0.4738,0.6395,0.8221,0.7996,0.2869,0.3815,0.5356,0.5487,0.7511,0.7331
RandomForestRegressor,0.1134,0.2431,0.3368,0.8178,0.9044,0.8860,0.2717,0.3652,0.5213,0.5726,0.7622,0.7494
GradientBoostingRegressor,0.1079,0.2392,0.3285,0.8267,0.9093,0.8913,0.2746,0.3685,0.5240,0.5681,0.7593,0.7453
AdaBoostRegressor,0.1317,0.2780,0.3629,0.7885,0.8944,0.8715,0.2784,0.3886,0.5276,0.5622,0.7528,0.7371
XGBRegressor,0.1315,0.2626,0.3627,0.7887,0.8898,0.8699,0.2726,0.3658,0.5221,0.5712,0.7624,0.7485
ExtraTreesRegressor,0.1216,0.2496,0.3487,0.8047,0.8975,0.8787,0.2735,0.3652,0.5229,0.5699,0.7617,0.7472
LinearRegression,0.1257,0.2608,0.3545,0.7981,0.8944,0.8818,0.2930,0.3766,0.5413,0.5392,0.7453,0.7386
KNeighborsRegressor,0.1415,0.2739,0.3762,0.7727,0.8812,0.8570,0.2807,0.3721,0.5298,0.5585,0.7570,0.7488
SVR,0.1118,0.2400,0.3343,0.8205,0.9060,0.8904,0.2699,0.3662,0.5195,0.5755,0.7637,0.7535
MLPRegressor,0.1615,0.3007,0.4019,0.7406,0.8687,0.8537,0.3043,0.3860,0.5517,0.5213,0.7420,0.7318
