,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1307,0.2634,0.3615,0.7901,0.8889,0.8684,0.2062,0.3247,0.4541,0.6756,0.8222,0.8041
DecisionTreeRegressor,0.2649,0.3759,0.5147,0.5745,0.7917,0.7659,0.2392,0.3469,0.4891,0.6238,0.7952,0.7749
RandomForestRegressor,0.1332,0.2672,0.3650,0.7861,0.8867,0.8664,0.2083,0.3249,0.4564,0.6724,0.8202,0.8029
GradientBoostingRegressor,0.1325,0.2662,0.3640,0.7871,0.8872,0.8644,0.2106,0.3297,0.4590,0.6687,0.8181,0.7977
AdaBoostRegressor,0.1637,0.3141,0.4046,0.7371,0.8667,0.8410,0.2328,0.3662,0.4825,0.6339,0.8018,0.7790
XGBRegressor,0.1496,0.2810,0.3868,0.7597,0.8730,0.8519,0.2084,0.3262,0.4565,0.6722,0.8205,0.8043
ExtraTreesRegressor,0.1354,0.2673,0.3680,0.7825,0.8847,0.8640,0.2061,0.3218,0.4540,0.6758,0.8223,0.8058
LinearRegression,0.1465,0.2846,0.3828,0.7647,0.8758,0.8545,0.2155,0.3359,0.4642,0.6611,0.8144,0.7912
KNeighborsRegressor,0.1703,0.3018,0.4127,0.7264,0.8549,0.8280,0.2166,0.3331,0.4654,0.6593,0.8144,0.8005
SVR,0.1367,0.2672,0.3697,0.7804,0.8836,0.8648,0.2075,0.3218,0.4555,0.6737,0.8213,0.8069
MLPRegressor,0.2357,0.3626,0.4854,0.6215,0.8141,0.7910,0.2707,0.3730,0.5203,0.5741,0.7720,0.7460
