,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.0848,0.2142,0.2912,0.8638,0.9294,0.9136,0.2658,0.3649,0.5155,0.5819,0.7685,0.7512
DecisionTreeRegressor,0.1870,0.3141,0.4324,0.6997,0.8517,0.8309,0.2861,0.3849,0.5349,0.5500,0.7540,0.7280
RandomForestRegressor,0.0858,0.2147,0.2930,0.8621,0.9285,0.9115,0.2635,0.3625,0.5134,0.5855,0.7706,0.7536
GradientBoostingRegressor,0.0839,0.2137,0.2897,0.8652,0.9302,0.9137,0.2690,0.3667,0.5186,0.5769,0.7663,0.7484
AdaBoostRegressor,0.1028,0.2468,0.3206,0.8350,0.9167,0.8970,0.2687,0.3788,0.5183,0.5774,0.7628,0.7419
XGBRegressor,0.1002,0.2324,0.3165,0.8391,0.9165,0.8986,0.2633,0.3650,0.5132,0.5858,0.7717,0.7538
ExtraTreesRegressor,0.0889,0.2168,0.2981,0.8573,0.9259,0.9098,0.2623,0.3623,0.5121,0.5875,0.7716,0.7540
LinearRegression,0.0936,0.2292,0.3060,0.8496,0.9223,0.9068,0.2672,0.3646,0.5169,0.5798,0.7696,0.7532
KNeighborsRegressor,0.1150,0.2482,0.3392,0.8153,0.9040,0.8793,0.2684,0.3645,0.5180,0.5779,0.7696,0.7541
SVR,0.0836,0.2117,0.2891,0.8657,0.9305,0.9153,0.2621,0.3612,0.5120,0.5877,0.7723,0.7572
MLPRegressor,0.1692,0.3117,0.4114,0.7282,0.8796,0.8612,0.3139,0.4024,0.5603,0.5063,0.7515,0.7379
