,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2162,0.3412,0.4650,0.6528,0.8089,0.7782,0.2190,0.3420,0.4680,0.6555,0.8119,0.7970
DecisionTreeRegressor,0.2984,0.3808,0.5463,0.5207,0.7410,0.7231,0.2438,0.3484,0.4937,0.6166,0.7868,0.7785
RandomForestRegressor,0.2206,0.3446,0.4697,0.6457,0.8036,0.7758,0.2291,0.3443,0.4786,0.6396,0.8002,0.7877
GradientBoostingRegressor,0.2569,0.3759,0.5069,0.5874,0.7729,0.7392,0.2611,0.3757,0.5110,0.5893,0.7750,0.7551
AdaBoostRegressor,0.4482,0.5410,0.6695,0.2801,0.6053,0.5702,0.4233,0.5243,0.6506,0.3342,0.6461,0.6237
XGBRegressor,0.2110,0.3367,0.4593,0.6612,0.8137,0.7809,0.2124,0.3317,0.4609,0.6658,0.8162,0.7990
ExtraTreesRegressor,0.2199,0.3433,0.4689,0.6469,0.8046,0.7753,0.2320,0.3404,0.4817,0.6351,0.7974,0.7887
LinearRegression,0.6017,0.4866,0.7757,0.0336,0.5649,0.6429,0.4357,0.4432,0.6601,0.3147,0.6274,0.6731
KNeighborsRegressor,0.3163,0.4088,0.5624,0.4920,0.7136,0.6881,0.2963,0.3882,0.5444,0.5339,0.7365,0.7318
SVR,0.2810,0.3780,0.5301,0.5486,0.7435,0.7271,0.2831,0.3744,0.5321,0.5547,0.7477,0.7466
MLPRegressor,0.4671,0.5002,0.6835,0.2497,0.6189,0.6037,0.2970,0.3979,0.5450,0.5329,0.7419,0.7363
