,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2162,0.3412,0.4650,0.6528,0.8089,0.7782,0.2190,0.3420,0.4680,0.6555,0.8119,0.7970
DecisionTreeRegressor,0.2956,0.3804,0.5437,0.5252,0.7427,0.7282,0.2497,0.3493,0.4997,0.6073,0.7810,0.7782
RandomForestRegressor,0.2209,0.3449,0.4700,0.6452,0.8033,0.7759,0.2289,0.3442,0.4784,0.6400,0.8004,0.7875
GradientBoostingRegressor,0.2570,0.3760,0.5070,0.5872,0.7728,0.7387,0.2615,0.3758,0.5113,0.5887,0.7747,0.7549
AdaBoostRegressor,0.4553,0.5456,0.6748,0.2686,0.5982,0.5670,0.4252,0.5268,0.6521,0.3312,0.6462,0.6225
XGBRegressor,0.2110,0.3367,0.4593,0.6612,0.8137,0.7809,0.2124,0.3317,0.4609,0.6658,0.8162,0.7990
ExtraTreesRegressor,0.2212,0.3439,0.4703,0.6447,0.8033,0.7742,0.2324,0.3402,0.4821,0.6345,0.7970,0.7891
LinearRegression,0.6017,0.4866,0.7757,0.0336,0.5649,0.6429,0.4357,0.4432,0.6601,0.3147,0.6274,0.6730
KNeighborsRegressor,0.3163,0.4088,0.5624,0.4920,0.7136,0.6881,0.2963,0.3882,0.5444,0.5339,0.7365,0.7318
SVR,0.2810,0.3780,0.5301,0.5486,0.7435,0.7271,0.2831,0.3744,0.5321,0.5547,0.7477,0.7466
MLPRegressor,0.5536,0.5367,0.7441,0.1108,0.5768,0.5606,0.3122,0.3992,0.5588,0.5089,0.7247,0.7134
