,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2381,0.3567,0.4880,0.6176,0.7875,0.7573,0.2460,0.3591,0.4960,0.6130,0.7848,0.7725
DecisionTreeRegressor,0.3185,0.3871,0.5644,0.4884,0.7205,0.7146,0.2644,0.3584,0.5142,0.5841,0.7684,0.7660
RandomForestRegressor,0.2328,0.3500,0.4825,0.6262,0.7913,0.7658,0.2446,0.3490,0.4946,0.6152,0.7848,0.7799
GradientBoostingRegressor,0.2803,0.3961,0.5294,0.5498,0.7494,0.7076,0.2926,0.3988,0.5409,0.5398,0.7429,0.7289
AdaBoostRegressor,0.5293,0.5951,0.7275,0.1499,0.5281,0.4627,0.4969,0.5787,0.7049,0.2184,0.5820,0.5031
XGBRegressor,0.2350,0.3506,0.4848,0.6225,0.7897,0.7650,0.2385,0.3447,0.4884,0.6248,0.7911,0.7822
ExtraTreesRegressor,0.2222,0.3460,0.4714,0.6431,0.8021,0.7745,0.2326,0.3433,0.4823,0.6341,0.7969,0.7845
LinearRegression,0.4162,0.4745,0.6451,0.3315,0.5797,0.6028,0.4038,0.4674,0.6355,0.3648,0.6048,0.6378
KNeighborsRegressor,0.2759,0.3805,0.5253,0.5568,0.7530,0.7202,0.2640,0.3679,0.5138,0.5848,0.7686,0.7544
SVR,0.3387,0.4128,0.5820,0.4559,0.6831,0.6738,0.3547,0.4196,0.5955,0.4421,0.6736,0.6806
MLPRegressor,0.3258,0.4142,0.5708,0.4768,0.6941,0.6837,0.3030,0.3975,0.5505,0.5234,0.7237,0.7225
