,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.4729,0.5231,0.6877,0.2404,0.4905,0.4049,0.4738,0.5280,0.6883,0.2547,0.5053,0.4390
DecisionTreeRegressor,0.4690,0.5171,0.6848,0.2468,0.4996,0.4173,0.4678,0.5205,0.6840,0.2642,0.5147,0.4671
RandomForestRegressor,0.4657,0.5163,0.6824,0.2520,0.5033,0.4169,0.4659,0.5209,0.6826,0.2672,0.5172,0.4625
GradientBoostingRegressor,0.4722,0.5237,0.6871,0.2416,0.4919,0.4079,0.4743,0.5279,0.6887,0.2540,0.5062,0.4523
AdaBoostRegressor,0.5512,0.5933,0.7425,0.1146,0.4132,0.3307,0.5438,0.5908,0.7374,0.1447,0.4443,0.3749
XGBRegressor,0.4682,0.5176,0.6843,0.2480,0.5003,0.4169,0.4667,0.5212,0.6832,0.2659,0.5161,0.4627
ExtraTreesRegressor,0.4687,0.5171,0.6846,0.2472,0.4999,0.4169,0.4680,0.5209,0.6841,0.2639,0.5143,0.4656
LinearRegression,0.4979,0.5380,0.7056,0.2003,0.4486,0.3824,0.4991,0.5404,0.7065,0.2149,0.4639,0.4199
KNeighborsRegressor,1.0399,0.7706,1.0198,-0.6703,0.1033,0.0413,1.0209,0.7623,1.0104,-0.6058,0.1123,0.0549
SVR,0.4989,0.5152,0.7063,0.1987,0.4681,0.3880,0.5037,0.5188,0.7097,0.2077,0.4798,0.4409
MLPRegressor,0.4827,0.5253,0.6948,0.2246,0.4771,0.4050,0.4768,0.5246,0.6905,0.2501,0.5014,0.4488
