,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2364,0.3562,0.4862,0.6203,0.7888,0.7608,0.2374,0.3538,0.4872,0.6266,0.7940,0.7783
DecisionTreeRegressor,0.3010,0.3848,0.5486,0.5166,0.7377,0.7184,0.2571,0.3523,0.5070,0.5957,0.7738,0.7695
RandomForestRegressor,0.2310,0.3527,0.4806,0.6290,0.7931,0.7658,0.2407,0.3486,0.4906,0.6214,0.7886,0.7821
GradientBoostingRegressor,0.2797,0.3916,0.5289,0.5508,0.7491,0.7148,0.2859,0.3919,0.5347,0.5503,0.7508,0.7260
AdaBoostRegressor,0.5100,0.5756,0.7142,0.1808,0.5489,0.5350,0.4782,0.5581,0.6915,0.2478,0.5940,0.5806
XGBRegressor,0.2212,0.3439,0.4703,0.6447,0.8030,0.7743,0.2260,0.3422,0.4754,0.6445,0.8030,0.7874
ExtraTreesRegressor,0.2251,0.3478,0.4744,0.6385,0.7995,0.7718,0.2341,0.3436,0.4838,0.6318,0.7951,0.7863
LinearRegression,0.3454,0.4214,0.5877,0.4453,0.6752,0.6732,0.3411,0.4176,0.5840,0.4635,0.6843,0.7022
KNeighborsRegressor,0.3171,0.4110,0.5631,0.4908,0.7099,0.6860,0.2994,0.3904,0.5472,0.5290,0.7334,0.7327
SVR,0.2943,0.3851,0.5425,0.5273,0.7286,0.7136,0.2879,0.3777,0.5366,0.5471,0.7416,0.7383
MLPRegressor,0.3532,0.4112,0.5943,0.4328,0.6958,0.7059,0.3125,0.3806,0.5590,0.5085,0.7270,0.7501
