,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.4987,0.5403,0.7062,0.1989,0.4462,0.3576,0.5139,0.5531,0.7169,0.1917,0.4387,0.3701
DecisionTreeRegressor,0.4807,0.5280,0.6933,0.2280,0.4809,0.3781,0.5116,0.5448,0.7153,0.1953,0.4505,0.3941
RandomForestRegressor,0.4761,0.5273,0.6900,0.2353,0.4861,0.3804,0.5088,0.5447,0.7133,0.1998,0.4534,0.3950
GradientBoostingRegressor,0.4828,0.5328,0.6949,0.2245,0.4738,0.3734,0.4867,0.5409,0.6976,0.2345,0.4848,0.3974
AdaBoostRegressor,0.6200,0.6330,0.7874,0.0041,0.3350,0.2659,0.6068,0.6307,0.7790,0.0456,0.3748,0.3796
XGBRegressor,0.4813,0.5281,0.6938,0.2269,0.4796,0.3802,0.5118,0.5451,0.7154,0.1950,0.4502,0.3953
ExtraTreesRegressor,0.4799,0.5277,0.6928,0.2292,0.4819,0.3794,0.5132,0.5452,0.7164,0.1927,0.4484,0.3942
LinearRegression,0.5020,0.5415,0.7085,0.1938,0.4406,0.3515,0.5091,0.5498,0.7135,0.1992,0.4469,0.3738
KNeighborsRegressor,1.0374,0.7533,1.0185,-0.6662,0.0607,-0.0063,1.0472,0.7575,1.0233,-0.6472,0.0224,-0.0434
SVR,0.5030,0.5202,0.7092,0.1921,0.4643,0.3740,0.5113,0.5301,0.7151,0.1958,0.4693,0.3893
MLPRegressor,0.4905,0.5363,0.7004,0.2121,0.4633,0.3784,0.4900,0.5407,0.7000,0.2292,0.4794,0.3961
