,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3707,0.4623,0.6089,0.4046,0.6371,0.5564,0.3773,0.4655,0.6143,0.4065,0.6396,0.5839
DecisionTreeRegressor,0.4343,0.4777,0.6590,0.3025,0.5861,0.5330,0.3869,0.4592,0.6220,0.3914,0.6318,0.5824
RandomForestRegressor,0.3629,0.4524,0.6024,0.4171,0.6473,0.5708,0.3688,0.4540,0.6073,0.4200,0.6486,0.5889
GradientBoostingRegressor,0.3909,0.4792,0.6252,0.3721,0.6123,0.5239,0.3999,0.4812,0.6323,0.3711,0.6119,0.5531
AdaBoostRegressor,0.6736,0.6657,0.8207,-0.0819,0.3589,0.3802,0.6490,0.6525,0.8056,-0.0208,0.3908,0.4333
XGBRegressor,0.3648,0.4528,0.6040,0.4141,0.6479,0.5683,0.3648,0.4523,0.6039,0.4263,0.6541,0.5935
ExtraTreesRegressor,0.4192,0.4735,0.6474,0.3268,0.5987,0.5389,0.3873,0.4603,0.6224,0.3907,0.6308,0.5804
LinearRegression,0.5203,0.5097,0.7213,0.1643,0.5169,0.5194,0.4345,0.4835,0.6591,0.3166,0.5811,0.5429
KNeighborsRegressor,0.4686,0.5081,0.6845,0.2474,0.5543,0.4730,0.4411,0.4928,0.6642,0.3061,0.5908,0.5311
SVR,0.4002,0.4642,0.6326,0.3572,0.6070,0.5447,0.4011,0.4623,0.6333,0.3691,0.6180,0.5691
MLPRegressor,0.4529,0.5060,0.6730,0.2726,0.5586,0.5117,0.4202,0.4929,0.6482,0.3391,0.5940,0.5487
