,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3824,0.4729,0.6184,0.3858,0.6213,0.5350,0.3875,0.4764,0.6225,0.3904,0.6255,0.5501
DecisionTreeRegressor,0.4410,0.4878,0.6641,0.2917,0.5743,0.5141,0.4016,0.4708,0.6337,0.3684,0.6137,0.5478
RandomForestRegressor,0.3781,0.4652,0.6149,0.3928,0.6283,0.5483,0.3836,0.4650,0.6193,0.3967,0.6311,0.5531
GradientBoostingRegressor,0.4003,0.4886,0.6327,0.3571,0.5995,0.5000,0.4024,0.4898,0.6344,0.3671,0.6091,0.5162
AdaBoostRegressor,0.6251,0.6422,0.7906,-0.0040,0.3785,0.3790,0.6150,0.6378,0.7842,0.0327,0.3969,0.4234
XGBRegressor,0.3786,0.4640,0.6153,0.3919,0.6304,0.5487,0.3763,0.4643,0.6134,0.4081,0.6400,0.5582
ExtraTreesRegressor,0.4280,0.4833,0.6542,0.3126,0.5846,0.5190,0.3983,0.4696,0.6311,0.3735,0.6171,0.5509
LinearRegression,0.5167,0.5144,0.7188,0.1701,0.5063,0.5030,0.4387,0.4950,0.6623,0.3100,0.5759,0.5428
KNeighborsRegressor,0.4928,0.5227,0.7020,0.2085,0.5166,0.4348,0.4652,0.5044,0.6820,0.2683,0.5544,0.5010
SVR,0.4070,0.4724,0.6380,0.3462,0.5976,0.5269,0.4047,0.4718,0.6362,0.3634,0.6134,0.5399
MLPRegressor,0.4504,0.5025,0.6711,0.2766,0.5583,0.5071,0.4340,0.4975,0.6588,0.3173,0.5763,0.5158
