,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.4048,0.4852,0.6362,0.3499,0.5915,0.5020,0.4220,0.4950,0.6496,0.3362,0.5801,0.5033
DecisionTreeRegressor,0.4241,0.4875,0.6512,0.3188,0.5778,0.4874,0.4318,0.4902,0.6571,0.3209,0.5720,0.5103
RandomForestRegressor,0.3983,0.4777,0.6311,0.3603,0.6019,0.5058,0.4172,0.4846,0.6459,0.3437,0.5876,0.5158
GradientBoostingRegressor,0.4191,0.4958,0.6474,0.3268,0.5736,0.4706,0.4311,0.5032,0.6566,0.3219,0.5700,0.4877
AdaBoostRegressor,0.5697,0.6132,0.7548,0.0850,0.4403,0.3864,0.5548,0.6074,0.7449,0.1273,0.4762,0.4306
XGBRegressor,0.4024,0.4793,0.6344,0.3537,0.5983,0.5015,0.4215,0.4875,0.6492,0.3371,0.5828,0.5135
ExtraTreesRegressor,0.4177,0.4855,0.6463,0.3291,0.5839,0.4901,0.4301,0.4895,0.6559,0.3234,0.5738,0.5121
LinearRegression,0.4727,0.5102,0.6875,0.2408,0.5176,0.4649,0.4605,0.5075,0.6786,0.2757,0.5356,0.4796
KNeighborsRegressor,0.5692,0.5685,0.7544,0.0858,0.4214,0.3199,0.5927,0.5710,0.7699,0.0677,0.3937,0.3166
SVR,0.4357,0.4845,0.6601,0.3002,0.5592,0.4734,0.4419,0.4860,0.6648,0.3049,0.5649,0.4834
MLPRegressor,0.4715,0.5130,0.6867,0.2427,0.5215,0.4558,0.4502,0.5013,0.6710,0.2918,0.5483,0.5000
