,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2423,0.3609,0.4922,0.6109,0.7831,0.7549,0.2572,0.3702,0.5071,0.5955,0.7727,0.7524
DecisionTreeRegressor,0.3034,0.3836,0.5508,0.5127,0.7336,0.7185,0.2751,0.3655,0.5245,0.5672,0.7577,0.7512
RandomForestRegressor,0.2308,0.3531,0.4805,0.6292,0.7933,0.7668,0.2510,0.3573,0.5009,0.6053,0.7781,0.7655
GradientBoostingRegressor,0.2933,0.4028,0.5416,0.5289,0.7339,0.6986,0.3002,0.4037,0.5479,0.5277,0.7310,0.7167
AdaBoostRegressor,0.4892,0.5620,0.6994,0.2142,0.5668,0.5422,0.4678,0.5483,0.6840,0.2642,0.6030,0.5868
XGBRegressor,0.2244,0.3458,0.4737,0.6396,0.7998,0.7686,0.2404,0.3513,0.4903,0.6219,0.7886,0.7685
ExtraTreesRegressor,0.2261,0.3492,0.4755,0.6368,0.7984,0.7705,0.2363,0.3485,0.4861,0.6283,0.7930,0.7777
LinearRegression,0.3767,0.4368,0.6138,0.3949,0.6390,0.6514,0.3641,0.4346,0.6034,0.4274,0.6569,0.6792
KNeighborsRegressor,0.3146,0.4082,0.5609,0.4947,0.7149,0.6768,0.3125,0.4001,0.5590,0.5084,0.7224,0.7063
SVR,0.2738,0.3721,0.5232,0.5603,0.7521,0.7292,0.2839,0.3781,0.5329,0.5534,0.7463,0.7324
MLPRegressor,0.2744,0.3679,0.5239,0.5592,0.7581,0.7445,0.2713,0.3608,0.5209,0.5733,0.7646,0.7697
