,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2948,0.4067,0.5430,0.5265,0.7269,0.6893,0.3068,0.4125,0.5539,0.5174,0.7206,0.6892
DecisionTreeRegressor,0.3749,0.4286,0.6123,0.3979,0.6625,0.6448,0.3303,0.4114,0.5747,0.4805,0.7023,0.6864
RandomForestRegressor,0.2844,0.3963,0.5333,0.5432,0.7371,0.7038,0.2963,0.3982,0.5443,0.5340,0.7312,0.7074
GradientBoostingRegressor,0.3356,0.4399,0.5793,0.4609,0.6839,0.6370,0.3448,0.4424,0.5872,0.4577,0.6816,0.6563
AdaBoostRegressor,0.5254,0.5847,0.7248,0.1562,0.5002,0.4404,0.5090,0.5770,0.7135,0.1994,0.5357,0.4841
XGBRegressor,0.2746,0.3899,0.5240,0.5589,0.7480,0.7065,0.2915,0.3979,0.5399,0.5415,0.7364,0.7087
ExtraTreesRegressor,0.3604,0.4242,0.6003,0.4212,0.6730,0.6492,0.3260,0.4094,0.5710,0.4872,0.7058,0.6895
LinearRegression,0.3853,0.4569,0.6207,0.3812,0.6264,0.6150,0.3824,0.4535,0.6184,0.3985,0.6355,0.6335
KNeighborsRegressor,0.3767,0.4538,0.6138,0.3949,0.6434,0.5926,0.3884,0.4515,0.6232,0.3891,0.6387,0.6151
SVR,0.3201,0.4135,0.5658,0.4859,0.7014,0.6682,0.3243,0.4120,0.5695,0.4899,0.7045,0.6827
MLPRegressor,0.3318,0.4131,0.5761,0.4670,0.6924,0.6734,0.3104,0.4046,0.5571,0.5118,0.7176,0.6993
