,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3568,0.4417,0.5973,0.4269,0.6537,0.6285,0.3611,0.4478,0.6009,0.4320,0.6583,0.6371
DecisionTreeRegressor,0.3947,0.4486,0.6282,0.3661,0.6245,0.6136,0.3592,0.4344,0.5993,0.4351,0.6631,0.6483
RandomForestRegressor,0.3544,0.4354,0.5953,0.4307,0.6589,0.6358,0.3441,0.4301,0.5866,0.4588,0.6781,0.6569
GradientBoostingRegressor,0.3820,0.4639,0.6180,0.3865,0.6259,0.5949,0.3872,0.4654,0.6223,0.3909,0.6304,0.6056
AdaBoostRegressor,0.5644,0.6065,0.7512,0.0936,0.4421,0.4254,0.5411,0.5973,0.7356,0.1489,0.4902,0.4629
XGBRegressor,0.3523,0.4336,0.5935,0.4342,0.6620,0.6375,0.3493,0.4340,0.5911,0.4505,0.6721,0.6619
ExtraTreesRegressor,0.3841,0.4453,0.6198,0.3831,0.6342,0.6191,0.3546,0.4331,0.5955,0.4422,0.6681,0.6525
LinearRegression,0.4325,0.4895,0.6577,0.3053,0.5547,0.5510,0.4358,0.4916,0.6602,0.3145,0.5622,0.5615
KNeighborsRegressor,0.5588,0.5360,0.7475,0.1025,0.4515,0.4216,0.5622,0.5317,0.7498,0.1158,0.4550,0.4229
SVR,0.3790,0.4353,0.6156,0.3913,0.6330,0.6164,0.3906,0.4378,0.6250,0.3856,0.6289,0.6276
MLPRegressor,0.3963,0.4599,0.6295,0.3635,0.6151,0.6134,0.3809,0.4530,0.6172,0.4009,0.6366,0.6347
