,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2632,0.3767,0.5130,0.5773,0.7610,0.7393,0.2676,0.3796,0.5173,0.5790,0.7630,0.7439
DecisionTreeRegressor,0.3473,0.4033,0.5893,0.4422,0.6959,0.6872,0.2756,0.3662,0.5249,0.5666,0.7573,0.7585
RandomForestRegressor,0.2482,0.3650,0.4982,0.6013,0.7756,0.7527,0.2531,0.3626,0.5030,0.6020,0.7761,0.7656
GradientBoostingRegressor,0.3089,0.4119,0.5558,0.5039,0.7160,0.6873,0.3172,0.4168,0.5632,0.5011,0.7153,0.6980
AdaBoostRegressor,0.5044,0.5706,0.7102,0.1899,0.5297,0.4962,0.4850,0.5575,0.6965,0.2371,0.5673,0.5513
XGBRegressor,0.2456,0.3633,0.4956,0.6056,0.7785,0.7518,0.2523,0.3624,0.5023,0.6031,0.7767,0.7647
ExtraTreesRegressor,0.3220,0.3956,0.5674,0.4829,0.7137,0.7008,0.2745,0.3651,0.5240,0.5682,0.7579,0.7615
LinearRegression,0.3877,0.4351,0.6227,0.3772,0.6472,0.6647,0.3519,0.4197,0.5932,0.4465,0.6770,0.6885
KNeighborsRegressor,0.3380,0.4221,0.5813,0.4572,0.6895,0.6691,0.3137,0.3962,0.5601,0.5066,0.7193,0.7221
SVR,0.3028,0.3939,0.5503,0.5136,0.7196,0.7009,0.2957,0.3849,0.5438,0.5349,0.7341,0.7271
MLPRegressor,0.3648,0.4195,0.6040,0.4141,0.6844,0.6896,0.3075,0.3866,0.5546,0.5163,0.7275,0.7367
