,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.3773,0.4709,0.6142,0.3941,0.6279,0.5369,0.3782,0.4698,0.6149,0.4052,0.6373,0.5604
DecisionTreeRegressor,0.4126,0.4782,0.6423,0.3374,0.5977,0.5239,0.3997,0.4644,0.6322,0.3713,0.6165,0.5611
RandomForestRegressor,0.3722,0.4650,0.6101,0.4022,0.6355,0.5432,0.3740,0.4590,0.6116,0.4117,0.6424,0.5683
GradientBoostingRegressor,0.3852,0.4791,0.6207,0.3813,0.6199,0.5158,0.3908,0.4812,0.6252,0.3852,0.6234,0.5430
AdaBoostRegressor,0.6497,0.6543,0.8060,-0.0435,0.3852,0.3822,0.6341,0.6454,0.7963,0.0026,0.4040,0.4207
XGBRegressor,0.3784,0.4670,0.6152,0.3922,0.6304,0.5362,0.3676,0.4555,0.6063,0.4218,0.6504,0.5770
ExtraTreesRegressor,0.4046,0.4751,0.6361,0.3501,0.6057,0.5288,0.3952,0.4632,0.6287,0.3784,0.6212,0.5619
LinearRegression,0.4196,0.4891,0.6478,0.3261,0.5767,0.5091,0.4102,0.4906,0.6405,0.3547,0.5978,0.5385
KNeighborsRegressor,0.5698,0.5695,0.7549,0.0848,0.4750,0.3932,0.5594,0.5608,0.7479,0.1201,0.4943,0.4410
SVR,0.3970,0.4677,0.6301,0.3623,0.6115,0.5232,0.4044,0.4663,0.6359,0.3639,0.6140,0.5522
MLPRegressor,0.4114,0.4829,0.6414,0.3392,0.5903,0.5135,0.3944,0.4730,0.6280,0.3796,0.6177,0.5598
