,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2643,0.3791,0.5141,0.5755,0.7605,0.7224,0.2650,0.3740,0.5148,0.5832,0.7675,0.7476
DecisionTreeRegressor,0.3243,0.3932,0.5695,0.4791,0.7135,0.7027,0.2721,0.3659,0.5216,0.5721,0.7590,0.7482
RandomForestRegressor,0.2425,0.3596,0.4924,0.6106,0.7815,0.7501,0.2570,0.3584,0.5070,0.5957,0.7721,0.7629
GradientBoostingRegressor,0.3215,0.4267,0.5670,0.4836,0.7067,0.6726,0.3325,0.4278,0.5766,0.4770,0.7006,0.6920
AdaBoostRegressor,0.5080,0.5787,0.7128,0.1840,0.5107,0.4264,0.4892,0.5678,0.6994,0.2306,0.5538,0.4657
XGBRegressor,0.2394,0.3571,0.4892,0.6156,0.7851,0.7486,0.2509,0.3534,0.5009,0.6054,0.7782,0.7662
ExtraTreesRegressor,0.2434,0.3595,0.4934,0.6090,0.7808,0.7467,0.2583,0.3590,0.5083,0.5937,0.7713,0.7623
LinearRegression,0.4424,0.4889,0.6651,0.2895,0.5391,0.5600,0.4523,0.4904,0.6725,0.2886,0.5377,0.5674
KNeighborsRegressor,0.3155,0.4066,0.5617,0.4933,0.7097,0.6770,0.3068,0.3972,0.5539,0.5175,0.7249,0.7080
SVR,0.3561,0.4254,0.5968,0.4280,0.6654,0.6589,0.3720,0.4256,0.6099,0.4149,0.6531,0.6728
MLPRegressor,0.3439,0.4180,0.5864,0.4477,0.6746,0.6806,0.3417,0.4052,0.5845,0.4626,0.6843,0.7240
