,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.4713,0.5262,0.6865,0.2430,0.4930,0.3849,0.4779,0.5288,0.6913,0.2482,0.4984,0.4093
DecisionTreeRegressor,0.4584,0.5139,0.6771,0.2637,0.5166,0.3952,0.4765,0.5185,0.6903,0.2505,0.5049,0.4355
RandomForestRegressor,0.4521,0.5125,0.6724,0.2739,0.5243,0.3962,0.4728,0.5189,0.6876,0.2564,0.5088,0.4305
GradientBoostingRegressor,0.4604,0.5202,0.6785,0.2606,0.5107,0.3945,0.4782,0.5284,0.6915,0.2478,0.4980,0.4094
AdaBoostRegressor,0.5566,0.6016,0.7461,0.1060,0.4208,0.3082,0.5535,0.6023,0.7440,0.1294,0.4398,0.3800
XGBRegressor,0.4529,0.5124,0.6730,0.2725,0.5241,0.3973,0.4745,0.5187,0.6889,0.2536,0.5070,0.4224
ExtraTreesRegressor,0.4560,0.5138,0.6753,0.2676,0.5199,0.3949,0.4771,0.5189,0.6907,0.2496,0.5043,0.4359
LinearRegression,0.4777,0.5292,0.6912,0.2327,0.4836,0.3820,0.4836,0.5324,0.6954,0.2394,0.4895,0.4023
KNeighborsRegressor,0.7088,0.6313,0.8419,-0.1384,0.2374,0.1498,0.7122,0.6330,0.8439,-0.1202,0.2182,0.1711
SVR,0.4761,0.5092,0.6900,0.2353,0.5022,0.3991,0.4914,0.5128,0.7010,0.2271,0.4961,0.4214
MLPRegressor,0.4738,0.5229,0.6884,0.2389,0.4956,0.3933,0.4876,0.5232,0.6983,0.2330,0.4913,0.4259
