,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.4343,0.4856,0.6590,0.3024,0.5563,0.4867,0.4305,0.4795,0.6561,0.3228,0.5727,0.5298
LGBMRegressor,0.4251,0.4895,0.6520,0.3172,0.5632,0.4915,0.4207,0.4815,0.6486,0.3382,0.5819,0.5273
XGBRegressor,0.4334,0.4855,0.6583,0.3039,0.5573,0.4843,0.4242,0.4761,0.6513,0.3327,0.5799,0.5294
DecisionTreeRegressor,0.4573,0.4920,0.6763,0.2655,0.5350,0.4739,0.4454,0.4850,0.6674,0.2994,0.5570,0.5168
RandomForestRegressor,0.4246,0.4836,0.6516,0.3180,0.5660,0.4877,0.4251,0.4785,0.6520,0.3314,0.5774,0.5330
GradientBoostingRegressor,0.4439,0.5048,0.6662,0.2871,0.5368,0.4684,0.4407,0.5006,0.6638,0.3068,0.5565,0.5041
AdaBoostRegressor,0.5300,0.5829,0.7280,0.1487,0.4531,0.4088,0.5243,0.5828,0.7241,0.1754,0.4756,0.4514
SVR,0.4798,0.5001,0.6927,0.2294,0.4999,0.4493,0.4643,0.4919,0.6814,0.2697,0.5392,0.4869
LinearRegression,0.5534,0.5748,0.7439,0.1112,0.3335,0.3321,0.5589,0.5757,0.7476,0.1209,0.3483,0.3508
KNeighborsRegressor,0.6444,0.5948,0.8027,-0.0349,0.4124,0.3531,0.6025,0.5786,0.7762,0.0524,0.4438,0.3729
MLPRegressor,0.4659,0.5138,0.6826,0.2517,0.5030,0.4488,0.4509,0.5015,0.6715,0.2907,0.5432,0.4975
