,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.3929,0.4658,0.6268,0.3689,0.6090,0.5223,0.4072,0.4687,0.6381,0.3596,0.6018,0.5444
LGBMRegressor,0.3974,0.4740,0.6304,0.3617,0.6014,0.5213,0.4070,0.4724,0.6379,0.3599,0.5999,0.5449
XGBRegressor,0.4005,0.4710,0.6328,0.3568,0.5995,0.5157,0.4025,0.4654,0.6344,0.3669,0.6067,0.5457
DecisionTreeRegressor,0.4234,0.4791,0.6507,0.3199,0.5771,0.4987,0.4133,0.4712,0.6429,0.3499,0.5954,0.5345
RandomForestRegressor,0.3936,0.4684,0.6274,0.3677,0.6068,0.5245,0.4057,0.4685,0.6369,0.3619,0.6021,0.5453
GradientBoostingRegressor,0.4129,0.4894,0.6426,0.3368,0.5818,0.4969,0.4307,0.4937,0.6563,0.3226,0.5686,0.5149
AdaBoostRegressor,0.5476,0.5907,0.7400,0.1205,0.4302,0.3765,0.5353,0.5874,0.7316,0.1581,0.4511,0.4321
SVR,0.4212,0.4725,0.6490,0.3235,0.5808,0.5044,0.4384,0.4715,0.6621,0.3105,0.5701,0.5241
LinearRegression,0.4972,0.5382,0.7051,0.2014,0.4490,0.4136,0.4934,0.5325,0.7025,0.2239,0.4735,0.4419
KNeighborsRegressor,0.5494,0.5564,0.7412,0.1175,0.4987,0.4113,0.5455,0.5475,0.7386,0.1419,0.5095,0.4602
MLPRegressor,0.4358,0.4887,0.6601,0.3001,0.5547,0.4990,0.4334,0.4858,0.6583,0.3183,0.5672,0.5263
