,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.4268,0.4770,0.6533,0.3145,0.5741,0.5517,0.4210,0.4751,0.6489,0.3377,0.5863,0.5857
LGBMRegressor,0.4158,0.4766,0.6448,0.3322,0.5763,0.5537,0.4253,0.4818,0.6521,0.3310,0.5757,0.5759
XGBRegressor,0.4209,0.4734,0.6488,0.3240,0.5765,0.5544,0.4196,0.4752,0.6478,0.3400,0.5858,0.5900
DecisionTreeRegressor,0.4501,0.4847,0.6709,0.2771,0.5518,0.5372,0.4300,0.4788,0.6557,0.3236,0.5775,0.5800
RandomForestRegressor,0.4189,0.4746,0.6472,0.3272,0.5799,0.5515,0.4194,0.4752,0.6476,0.3404,0.5866,0.5840
GradientBoostingRegressor,0.4359,0.4906,0.6602,0.2998,0.5498,0.5415,0.4362,0.4879,0.6605,0.3138,0.5657,0.5634
AdaBoostRegressor,0.5464,0.5849,0.7392,0.1224,0.4265,0.4175,0.5403,0.5844,0.7350,0.1502,0.4542,0.4550
SVR,0.4624,0.4798,0.6800,0.2573,0.5274,0.5359,0.4637,0.4842,0.6810,0.2706,0.5385,0.5539
LinearRegression,0.5263,0.5342,0.7255,0.1547,0.3933,0.4644,0.5498,0.5437,0.7415,0.1352,0.3691,0.4529
KNeighborsRegressor,0.4935,0.5134,0.7025,0.2073,0.5189,0.4993,0.4789,0.4992,0.6920,0.2468,0.5288,0.5368
MLPRegressor,0.4485,0.4953,0.6697,0.2797,0.5298,0.5273,0.4434,0.4938,0.6659,0.3026,0.5501,0.5589
