,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.3248,0.4078,0.5699,0.4783,0.7068,0.6767,0.2924,0.3877,0.5407,0.5401,0.7406,0.7111
LGBMRegressor,0.3025,0.4013,0.5500,0.5142,0.7184,0.6933,0.3077,0.4068,0.5547,0.5161,0.7198,0.7008
XGBRegressor,0.2663,0.3774,0.5161,0.5722,0.7565,0.7211,0.2575,0.3723,0.5075,0.5949,0.7723,0.7409
DecisionTreeRegressor,0.4255,0.4596,0.6523,0.3165,0.6386,0.6079,0.3271,0.4053,0.5719,0.4855,0.7127,0.6853
RandomForestRegressor,0.2920,0.3913,0.5404,0.5310,0.7307,0.6940,0.2808,0.3831,0.5299,0.5583,0.7477,0.7174
GradientBoostingRegressor,0.3363,0.4326,0.5799,0.4599,0.6893,0.6536,0.3396,0.4361,0.5827,0.4659,0.6945,0.6700
AdaBoostRegressor,0.5165,0.5741,0.7187,0.1704,0.4954,0.4428,0.4917,0.5650,0.7012,0.2267,0.5504,0.4987
SVR,0.3193,0.4006,0.5651,0.4871,0.7020,0.6890,0.3182,0.3984,0.5641,0.4995,0.7104,0.6991
LinearRegression,0.3832,0.4459,0.6191,0.3845,0.6272,0.6382,0.3678,0.4431,0.6065,0.4215,0.6515,0.6663
KNeighborsRegressor,0.3696,0.4459,0.6079,0.4064,0.6526,0.6163,0.3460,0.4283,0.5882,0.4557,0.6826,0.6519
MLPRegressor,0.4098,0.4302,0.6402,0.3418,0.6462,0.6724,0.3735,0.4231,0.6112,0.4124,0.6733,0.6834
