,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
ExtraTreesRegressor,0.3245,0.4078,0.5697,0.4788,0.7072,0.6771,0.2919,0.3879,0.5403,0.5408,0.7410,0.7110
LGBMRegressor,0.3025,0.4013,0.5500,0.5142,0.7184,0.6933,0.3077,0.4068,0.5547,0.5161,0.7198,0.7008
XGBRegressor,0.2663,0.3774,0.5161,0.5722,0.7565,0.7211,0.2575,0.3723,0.5075,0.5949,0.7723,0.7409
DecisionTreeRegressor,0.4260,0.4596,0.6526,0.3159,0.6388,0.6098,0.3300,0.4069,0.5745,0.4809,0.7100,0.6851
RandomForestRegressor,0.2918,0.3909,0.5402,0.5313,0.7309,0.6940,0.2809,0.3830,0.5300,0.5582,0.7477,0.7172
GradientBoostingRegressor,0.3363,0.4326,0.5799,0.4599,0.6893,0.6537,0.3396,0.4361,0.5827,0.4659,0.6945,0.6699
AdaBoostRegressor,0.5352,0.5878,0.7316,0.1404,0.4881,0.4413,0.5084,0.5783,0.7130,0.2004,0.5484,0.4956
SVR,0.3193,0.4006,0.5651,0.4871,0.7020,0.6890,0.3182,0.3984,0.5641,0.4995,0.7104,0.6991
LinearRegression,0.3832,0.4459,0.6191,0.3845,0.6272,0.6382,0.3678,0.4431,0.6065,0.4215,0.6515,0.6663
KNeighborsRegressor,0.3688,0.4452,0.6073,0.4077,0.6533,0.6170,0.3459,0.4280,0.5881,0.4560,0.6827,0.6521
MLPRegressor,0.4004,0.4303,0.6328,0.3569,0.6497,0.6720,0.3442,0.4114,0.5867,0.4587,0.6956,0.6912
