,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1320,0.2630,0.3633,0.7880,0.8877,0.8681,0.2058,0.3241,0.4536,0.6764,0.8227,0.8041
DecisionTreeRegressor,0.2824,0.3850,0.5314,0.5465,0.7793,0.7550,0.2377,0.3482,0.4876,0.6261,0.7954,0.7723
RandomForestRegressor,0.1344,0.2668,0.3666,0.7842,0.8856,0.8652,0.2066,0.3233,0.4546,0.6750,0.8217,0.8033
GradientBoostingRegressor,0.1321,0.2646,0.3634,0.7879,0.8876,0.8666,0.2087,0.3278,0.4569,0.6717,0.8199,0.7988
AdaBoostRegressor,0.1655,0.3177,0.4069,0.7341,0.8654,0.8425,0.2321,0.3677,0.4817,0.6350,0.8032,0.7831
XGBRegressor,0.1503,0.2828,0.3877,0.7585,0.8723,0.8517,0.2046,0.3213,0.4524,0.6781,0.8242,0.8079
ExtraTreesRegressor,0.1358,0.2676,0.3685,0.7819,0.8843,0.8652,0.2055,0.3208,0.4534,0.6767,0.8228,0.8062
LinearRegression,0.6649,0.4650,0.8154,-0.0680,0.6023,0.7230,0.4279,0.4247,0.6541,0.3270,0.6660,0.7017
KNeighborsRegressor,0.1974,0.3254,0.4443,0.6829,0.8300,0.8023,0.2224,0.3366,0.4716,0.6502,0.8096,0.7939
SVR,0.1558,0.2832,0.3948,0.7497,0.8664,0.8515,0.2148,0.3291,0.4635,0.6622,0.8144,0.8060
MLPRegressor,0.2739,0.3882,0.5234,0.5600,0.7907,0.7690,0.2810,0.3784,0.5301,0.5580,0.7662,0.7510
