,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1382,0.2728,0.3717,0.7781,0.8821,0.8589,0.2169,0.3351,0.4657,0.6589,0.8121,0.7900
DecisionTreeRegressor,0.2851,0.3913,0.5340,0.5420,0.7729,0.7477,0.2539,0.3577,0.5038,0.6007,0.7792,0.7597
RandomForestRegressor,0.1402,0.2751,0.3744,0.7749,0.8804,0.8578,0.2167,0.3334,0.4655,0.6591,0.8122,0.7899
GradientBoostingRegressor,0.1375,0.2733,0.3708,0.7792,0.8827,0.8601,0.2170,0.3368,0.4659,0.6586,0.8120,0.7887
AdaBoostRegressor,0.1938,0.3408,0.4403,0.6887,0.8429,0.8337,0.2581,0.3888,0.5080,0.5940,0.7811,0.7743
XGBRegressor,0.1534,0.2896,0.3917,0.7535,0.8690,0.8432,0.2227,0.3380,0.4719,0.6498,0.8071,0.7832
ExtraTreesRegressor,0.1406,0.2751,0.3750,0.7741,0.8801,0.8582,0.2169,0.3327,0.4658,0.6588,0.8121,0.7935
LinearRegression,0.1369,0.2762,0.3701,0.7800,0.8832,0.8594,0.2196,0.3393,0.4686,0.6546,0.8094,0.7862
KNeighborsRegressor,0.1697,0.3038,0.4120,0.7274,0.8555,0.8313,0.2308,0.3434,0.4804,0.6370,0.8012,0.7792
SVR,0.1357,0.2705,0.3684,0.7820,0.8846,0.8617,0.2209,0.3352,0.4700,0.6526,0.8093,0.7891
MLPRegressor,0.1383,0.2784,0.3719,0.7778,0.8825,0.8583,0.2156,0.3367,0.4643,0.6609,0.8130,0.7898
