,Feature,Importance
0,MaxAbsEStateIndex,1
1,MaxEStateIndex,0
2,MinAbsEStateIndex,6
3,MinEStateIndex,0
4,qed,6
5,SPS,8
6,MolWt,0
7,HeavyAtomMolWt,0
8,ExactMolWt,0
9,NumValenceElectrons,0
10,NumRadicalElectrons,0
11,MaxPartialCharge,0
12,MinPartialCharge,6
13,MaxAbsPartialCharge,0
14,MinAbsPartialCharge,0
15,FpDensityMorgan1,2
16,FpDensityMorgan2,2
17,FpDensityMorgan3,0
18,BCUT2D_MWHI,2
19,BCUT2D_MWLOW,15
20,BCUT2D_CHGHI,1
21,BCUT2D_CHGLO,1
22,BCUT2D_LOGPHI,4
23,BCUT2D_LOGPLOW,7
24,BCUT2D_MRHI,3
25,BCUT2D_MRLOW,0
26,AvgIpc,1
27,BalabanJ_x,4
28,BertzCT_x,0
29,Chi0,0
30,Chi0n,0
31,Chi0v,0
32,Chi1,0
33,Chi1n,0
34,Chi1v,0
35,Chi2n,0
36,Chi2v,0
37,Chi3n,1
38,Chi3v,0
39,Chi4n,0
40,Chi4v,0
41,HallKierAlpha,0
42,Ipc,0
43,Kappa1,0
44,Kappa2,0
45,Kappa3,0
46,LabuteASA_x,0
47,PEOE_VSA1,0
48,PEOE_VSA10,1
49,PEOE_VSA11,0
50,PEOE_VSA12,0
51,PEOE_VSA13,0
52,PEOE_VSA14,0
53,PEOE_VSA2,1
54,PEOE_VSA3,0
55,PEOE_VSA4,0
56,PEOE_VSA5,0
57,PEOE_VSA6,22
58,PEOE_VSA7,4
59,PEOE_VSA8,12
60,PEOE_VSA9,0
61,SMR_VSA1,0
62,SMR_VSA10,0
63,SMR_VSA2,0
64,SMR_VSA3,5
65,SMR_VSA4,3
66,SMR_VSA5,0
67,SMR_VSA6,0
68,SMR_VSA7,0
69,SMR_VSA8,0
70,SMR_VSA9,1
71,SlogP_VSA1,0
72,SlogP_VSA10,0
73,SlogP_VSA11,0
74,SlogP_VSA12,0
