Feature,t-statistic,p-value
PEOE_VSA8,-16.29252276102163,8.456155137419073e-58
AATSC.6,15.14615734869047,2.936358613436084e-50
minsOH,-11.280959921556885,3.9264049814582864e-29
CrippenLogP,-10.057425010892198,2.3317391295989518e-23
MolecularId.7,9.894678611507736,1.1081342809066815e-22
MolLogP,-9.784582365642617,3.2356425369036284e-22
PEOE_VSA6,-8.80554500675245,2.2160494236134423e-18
BCUT2D_MWLOW,7.9494670104687195,2.704304894845109e-15
BCUT.7,-7.287519101158151,4.346154912303789e-13
RDF20m,-7.1095840135722534,1.4023806313289668e-12
TopologicalCharge.12,-5.6722428391723465,1.5523105031706207e-08
Chi.9,5.237634932157762,1.7310908861670438e-07
minssCH2,4.19062383557297,2.8477885293997163e-05
RotatableBondsRatio,3.8848178183679347,0.00010470191064011148
EtaVEMCount.3,3.6358515221811634,0.00028181910178579853
E1p,-3.114813191481605,0.0018579763108832264
RPCS,2.9379054221574363,0.003326184568018624
XLogP,2.474044965096164,0.013420718028660664
TDB2i,-1.4767732924582955,0.13989381207485904
TDB1i,-0.32770375188735845,0.7431700411188567
