,Train MSE (5 fold CV),Train MAE (5 fold CV),Train RMSE (5 fold CV),Train R2 (5 fold CV),Train PCC (5 fold CV),Train SCC (5 fold CV),Test MSE,Test MAE,Test RMSE,Test R2,Test PCC,Test SCC
LGBMRegressor,0.1449876557999935,0.3034639384004945,0.38077244621951506,0.6295570267743813,0.794852450903332,0.7819783606945656,0.2445331263910121,0.36126160971851423,0.49450290837467487,0.47057875313433906,0.6897811694704451,0.626882412102577
DecisionTreeRegressor,0.2776158482142857,0.3974464285714286,0.5268926344278174,0.2906924409556755,0.6390426688322899,0.620156264733359,0.19803135714285713,0.3157142857142856,0.44500714279981746,0.5712564200834429,0.7593452537682998,0.6930027469656868
RandomForestRegressor,0.13922821911160707,0.3001762499999998,0.37313297778621374,0.6442723681541587,0.8029086286533558,0.7870061698808573,0.21866345342214266,0.32463699999999923,0.46761464201000236,0.5265873386430594,0.7260567792629082,0.6443930940048835
GradientBoostingRegressor,0.15245412933519584,0.31294722427566796,0.39045374801017835,0.6104802119888091,0.7866881838775784,0.7792450352366077,0.21876956831095673,0.33043563068134,0.4677280922832803,0.5263575968588845,0.7266811651858684,0.6373888212439609
AdaBoostRegressor,0.15588349172211977,0.3135208445168749,0.39482083496456943,0.6017182026172481,0.7773893239117752,0.7581553783826589,0.20148271572186274,0.3140404097449417,0.4488682609874112,0.5637841295629518,0.7517939691465837,0.6696084759442051
XGBRegressor,0.16754477619336164,0.31232213102068224,0.40932233776494736,0.5719236599900076,0.764343038607059,0.7500833754786287,0.21460922718536574,0.33714770126342775,0.4632593519675191,0.5353648549698977,0.7336532522639696,0.6824963378243027
ExtraTreesRegressor,0.14087193077232132,0.30104874999999975,0.37532909662364483,0.6400726903860006,0.8002952809968513,0.7841042184373748,0.21253112351785677,0.3131929999999995,0.46101097982353606,0.5398640091377035,0.7350190298117479,0.6523779649523355
LinearRegression,0.1710934960031401,0.3269183158960974,0.4136344956639135,0.5628566928042464,0.7653311694598426,0.7332161927479732,0.23840974332512763,0.35534915558860064,0.4882722020811011,0.4838360534666991,0.6973171355051225,0.6323457448560966
KNeighborsRegressor,0.16785267678571425,0.3227249999999999,0.40969827530234276,0.5711369750114853,0.757805624316715,0.7581629969276779,0.2453873508571427,0.3489371428571426,0.4953658757495743,0.46872933261354266,0.6886009882345685,0.6124536102150764
SVR,0.14622585582389916,0.302014133705712,0.38239489513315833,0.6263934298752329,0.7917456798014333,0.7862845090094561,0.24717866607156097,0.34451212940283565,0.49717066091188544,0.46485108368938544,0.6916153466080204,0.6295440357517277
MLPRegressor,0.4824489058693678,0.603053297699341,0.6945854201387817,-0.2326553328528489,0.7392427902388831,0.7379157358165819,0.7010356373703297,0.7580455877937198,0.8372787094930395,-0.5177623036659658,0.6103029445188617,0.5789731864178661
