,Train MSE (5 fold CV),Train MAE (5 fold CV),Train RMSE (5 fold CV),Train R2 (5 fold CV),Train PCC (5 fold CV),Train SCC (5 fold CV),Test MSE,Test MAE,Test RMSE,Test R2,Test PCC,Test SCC
LGBMRegressor,0.19702144969144367,0.35952860377603296,0.44387098316002105,0.4966108582816101,0.7089600613564861,0.7154225673479895,0.20444360276703852,0.30975715061637243,0.45215440146816943,0.55737372401005,0.7472608161472665,0.7007074470027018
DecisionTreeRegressor,0.2775497321428571,0.4053928571428571,0.526829889188965,0.29086136729594125,0.6404208993301357,0.6466707120262424,0.2191530428571428,0.31239999999999996,0.4681378459995974,0.5255273634447889,0.7287079261739494,0.7377416715714566
RandomForestRegressor,0.1740217544866073,0.33117660714285707,0.4171591476722131,0.5553750022216695,0.7458519678534975,0.7494382543966187,0.20834273672642822,0.32174671428571405,0.45644576537243525,0.5489319869213273,0.7425148433173875,0.7292848798672662
GradientBoostingRegressor,0.1955073466461685,0.34570089151948463,0.44216212710517,0.5004793864729716,0.7156032295495722,0.7290327465449725,0.20359976113177242,0.3133663861078723,0.4512203022158604,0.5592006654036075,0.7497070022835189,0.7227008634719988
AdaBoostRegressor,0.18969160069038438,0.34666902386015397,0.43553599241668234,0.5153385978416793,0.7196402963141006,0.725556318280166,0.22445974339852506,0.3285651063436796,0.47377182630304754,0.5140382042505909,0.7213014821762215,0.7218603507406881
XGBRegressor,0.21864751958426407,0.36789034530094694,0.46759760433974,0.44135632239661937,0.6870093483874314,0.6871436132368295,0.21440672213230397,0.33254739815848217,0.4630407348520257,0.5358032842300591,0.7356988837553025,0.7049100106592553
ExtraTreesRegressor,0.18243350130357155,0.3297607142857142,0.42712234933748383,0.533883017378519,0.7322092683767357,0.733660123526441,0.18926798276499968,0.3144595714285713,0.43504940267169623,0.5902293774833218,0.769878279524835,0.749036929053068
LinearRegression,0.19072834859776946,0.33349743267325194,0.43672456834688095,0.5126897104231051,0.730167679128463,0.7161609408205282,0.2101855459589953,0.3396135677709844,0.4584599720357223,0.5449422519678666,0.7393211794542828,0.7084121470397166
KNeighborsRegressor,0.1841780964285714,0.3425928571428571,0.4291597563012769,0.5294255826982082,0.7286745619579226,0.7118842196288322,0.20246087428571438,0.307137142857143,0.44995652488403187,0.5616663881585475,0.749871802704591,0.7105134288679935
SVR,0.18277482467350548,0.3419779569366911,0.4275217242123556,0.5330109373156195,0.7314116684916964,0.7294329403009312,0.1934955633936272,0.3127204012235773,0.43988130602882775,0.5810765439156758,0.7633231817575794,0.7369895799042809
MLPRegressor,0.5361693380238939,0.6324277988623316,0.7322358486334126,-0.3699108564385243,0.6594508668441463,0.6544567494646125,0.6002662180656335,0.7128023278428254,0.7747684932066052,-0.2995936146151652,0.6991492922682498,0.6485956576614372
