,Train MSE (5 fold CV),Train MAE (5 fold CV),Train RMSE (5 fold CV),Train R2 (5 fold CV),Train PCC (5 fold CV),Train SCC (5 fold CV),Test MSE,Test MAE,Test RMSE,Test R2,Test PCC,Test SCC
LGBMRegressor,0.17040645708744281,0.33699473821038284,0.4128031699096348,0.5646120749245264,0.7570365779108711,0.7434580294289538,0.24818260640032683,0.3639829722806155,0.4981792914205957,0.4626775240229374,0.6815790421427229,0.6023674574393477
DecisionTreeRegressor,0.23897156249999998,0.37923214285714285,0.4888471770400234,0.3894284610616089,0.6980680168630048,0.6834034776886642,0.2719317999999999,0.39431428571428556,0.5214708045518942,0.41125983729411386,0.6506572661087888,0.5316243025540289
RandomForestRegressor,0.16118369566964294,0.3234932142857142,0.4014768930706261,0.5881761993467688,0.7687680597871872,0.7449429029666272,0.22876547168428552,0.34498999999999946,0.47829433582709874,0.5047161787591774,0.7104346074351394,0.6149751484090085
GradientBoostingRegressor,0.18055163517434356,0.3398578369044792,0.42491367967428817,0.5386911790132272,0.7480584780262357,0.7222928713763118,0.24018214572175672,0.3537688732957221,0.4900838149967378,0.4799987513366367,0.6936404197587698,0.5673460936347344
AdaBoostRegressor,0.16783161424358656,0.3291759747030579,0.409672569552303,0.5711907897358246,0.7586464474325971,0.7504857657576036,0.2159541358242313,0.3444877326296279,0.46470865692843655,0.5324530891121706,0.7310311764952607,0.6598024940789134
XGBRegressor,0.2065164532717256,0.3497884897504534,0.4544408138269775,0.4723511560493068,0.7077225307966807,0.6899252878684117,0.2311370396338508,0.34949253027779714,0.48076713659925924,0.49958166598613973,0.7070248568527119,0.5943825864918959
ExtraTreesRegressor,0.16378523376339266,0.3276751785714283,0.40470388404782165,0.5815292782617228,0.7652079715480365,0.7424621993064084,0.21270128536357116,0.32514699999999946,0.4611954958188243,0.5394956038510388,0.7362868336610471,0.6284233521099799
LinearRegression,0.21553014535196188,0.3709990037152947,0.4642522432384812,0.4493212030817998,0.7068332155067513,0.6923023950417844,0.2592403324284738,0.3629418554045853,0.5091564910992236,0.438737229357259,0.6628175468687851,0.6254815575503925
KNeighborsRegressor,0.17782455714285714,0.3319285714285714,0.421692491209954,0.545658854217216,0.739904322996845,0.7276272007155504,0.2582627474285715,0.34629714285714275,0.5081955798986956,0.4408537289792277,0.667829104301292,0.5863977155444441
SVR,0.18662306079391908,0.34710214364629427,0.43199891295455717,0.5231787069629421,0.7263368360179123,0.7132874184416768,0.2387696855423056,0.3198430091142219,0.48864065072638563,0.48305676822125865,0.7001276744983868,0.6261819848264847
MLPRegressor,0.5199577015921039,0.6183020033540537,0.7210809258274025,-0.32849017984706697,0.7072757912156726,0.6994184086040237,0.6760572697633761,0.7352969923518408,0.8222270183856623,-0.4636834198831745,0.5918829542343158,0.5520767790159231
