,Train MSE (5 fold CV),Train MAE (5 fold CV),Train RMSE (5 fold CV),Train R2 (5 fold CV),Train PCC (5 fold CV),Train SCC (5 fold CV),Test MSE,Test MAE,Test RMSE,Test R2,Test PCC,Test SCC
LGBMRegressor,0.14775983037235046,0.3046414214878406,0.38439540888562973,0.6224741300600499,0.7898220567581751,0.7834122259627643,0.2467771921512571,0.3523954820491897,0.49676673816919054,0.46572028626577366,0.6873194387564104,0.6344470266843735
DecisionTreeRegressor,0.2896759375,0.42366071428571433,0.5382155121324542,0.25987895336795064,0.6272044962166634,0.58448038086666,0.1844181214285715,0.3117571428571429,0.4294393105301045,0.6007294666685872,0.7757767467979803,0.7175679532451579
RandomForestRegressor,0.1417920726428574,0.295521785714286,0.37655288160211625,0.6377217309996306,0.7993744781209119,0.7881192771037151,0.2143410345492855,0.3198532857142851,0.46296979874424365,0.5359454997352484,0.7324569382393067,0.6570007849745444
GradientBoostingRegressor,0.15511595060437613,0.3110195038704045,0.39384762358604647,0.6036792675931664,0.7827171864155226,0.7712149179039269,0.2170200817306109,0.31729755888410777,0.46585414212026804,0.5301452855880606,0.7307162397301177,0.636128052146995
AdaBoostRegressor,0.152584698971299,0.3119243320441523,0.3906209146618995,0.6101466070074459,0.7835113658709322,0.7645304190753615,0.20474247073355106,0.3189035492211619,0.4524847740350509,0.5567266662726609,0.7465446115737369,0.693983345152216
XGBRegressor,0.182745084913509,0.3371746535982405,0.4274869412198564,0.5330869223024469,0.7467180777139196,0.7339181719592451,0.2167631125861452,0.32224420601981024,0.4655782561354699,0.5307016311714867,0.7346121667602005,0.680675226906463
ExtraTreesRegressor,0.1382374819374998,0.2979078571428567,0.37180301496558604,0.6468036983038628,0.8044514633560429,0.7950144187022835,0.21291669904642843,0.31488757142857077,0.46142897508330405,0.5390292270363579,0.7344395458694946,0.6831967651003951
LinearRegression,0.17260085485789903,0.331826949979836,0.4154525903853519,0.5590053959969848,0.7555063855041237,0.7458889950200007,0.22310843607305353,0.33709203629276485,0.47234355724732136,0.5169638234487273,0.7192145166854157,0.639209932161801
KNeighborsRegressor,0.1448736357142857,0.30243571428571436,0.3806226946915878,0.6298483477101118,0.7943469299121897,0.7798135058850622,0.2539851371428572,0.3546342857142856,0.5039693811560948,0.45011487819239004,0.6749789639755149,0.6053092519989353
SVR,0.1470219802387311,0.30386343383667636,0.3834344536406856,0.6243593346713303,0.7909085903582066,0.7900218375828634,0.2538081674017107,0.34107881851688865,0.5037937746754229,0.45049802276833373,0.6804467225055,0.6202983957073097
MLPRegressor,0.5650284521560108,0.6544912829155805,0.7516837447730335,-0.44364579604266763,0.768759231875736,0.7631891742734969,0.7710876950326542,0.8215782932781192,0.8781159917873346,-0.6694270219004608,0.6305286396591326,0.5873783137309733
