,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2356,0.4115,0.4854,0.3980,0.6350,0.6050,0.2806,0.4080,0.5297,0.3925,0.6280,0.5731
DecisionTreeRegressor,0.2968,0.4306,0.5448,0.2417,0.6249,0.5869,0.1858,0.3337,0.4311,0.5977,0.7786,0.7410
RandomForestRegressor,0.1754,0.3409,0.4188,0.5519,0.7464,0.7280,0.1978,0.3226,0.4447,0.5718,0.7614,0.7183
GradientBoostingRegressor,0.1785,0.3366,0.4225,0.5438,0.7414,0.7133,0.1956,0.3367,0.4422,0.5766,0.7610,0.7326
AdaBoostRegressor,0.2202,0.3961,0.4692,0.4374,0.6730,0.6283,0.2265,0.3795,0.4759,0.5096,0.7380,0.6451
XGBRegressor,0.1875,0.3548,0.4331,0.5208,0.7286,0.7104,0.1968,0.3323,0.4436,0.5740,0.7607,0.7334
ExtraTreesRegressor,0.1551,0.3182,0.3938,0.6037,0.7780,0.7543,0.2029,0.3335,0.4504,0.5608,0.7532,0.7142
LinearRegression,0.3482,0.4808,0.5901,0.1103,0.4304,0.4329,0.2647,0.3972,0.5145,0.4269,0.6594,0.6011
KNeighborsRegressor,0.2327,0.3780,0.4824,0.4055,0.6555,0.6446,0.3034,0.3845,0.5509,0.3430,0.6161,0.5586
SVR,0.2322,0.3985,0.4818,0.4068,0.6390,0.5998,0.3014,0.4267,0.5490,0.3475,0.6008,0.5130
MLPRegressor,0.8700,0.6766,0.9327,-1.2228,0.2965,0.3394,0.8242,0.6887,0.9079,-0.7845,0.4906,0.3861
