,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2264,0.3941,0.4758,0.4216,0.6588,0.6248,0.2414,0.3616,0.4913,0.4774,0.6919,0.5814
DecisionTreeRegressor,0.3473,0.4373,0.5893,0.1127,0.5324,0.5172,0.1935,0.3080,0.4399,0.5811,0.7732,0.7279
RandomForestRegressor,0.1789,0.3338,0.4230,0.5428,0.7415,0.7369,0.1958,0.3040,0.4425,0.5760,0.7629,0.7072
GradientBoostingRegressor,0.1745,0.3183,0.4178,0.5541,0.7444,0.7378,0.1814,0.2968,0.4259,0.6072,0.7810,0.7185
AdaBoostRegressor,0.2192,0.3913,0.4682,0.4400,0.6878,0.6703,0.2263,0.3518,0.4757,0.5102,0.7384,0.6850
XGBRegressor,0.1833,0.3354,0.4281,0.5318,0.7340,0.7275,0.1952,0.3012,0.4418,0.5775,0.7604,0.7178
ExtraTreesRegressor,0.2004,0.3408,0.4476,0.4880,0.7012,0.7054,0.2142,0.3319,0.4628,0.5363,0.7327,0.6634
LinearRegression,1.6269,0.8080,1.2755,-3.1567,0.4027,0.4544,1.1728,0.6590,1.0830,-1.5392,0.2770,0.4224
KNeighborsRegressor,0.2714,0.3913,0.5210,0.3065,0.5887,0.5844,0.3532,0.4487,0.5943,0.2352,0.5227,0.4413
SVR,0.2512,0.3991,0.5012,0.3581,0.6008,0.5831,0.2461,0.3566,0.4961,0.4671,0.6852,0.6287
MLPRegressor,1.1119,0.7887,1.0545,-1.8409,0.2989,0.3004,0.5671,0.5139,0.7530,-0.2277,0.6016,0.5984
