,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2264,0.3941,0.4758,0.4216,0.6588,0.6248,0.2414,0.3616,0.4913,0.4774,0.6919,0.5814
DecisionTreeRegressor,0.3618,0.4415,0.6015,0.0756,0.5330,0.5191,0.2043,0.3179,0.4520,0.5577,0.7608,0.7189
RandomForestRegressor,0.1787,0.3350,0.4227,0.5435,0.7430,0.7411,0.1960,0.3051,0.4427,0.5757,0.7630,0.7095
GradientBoostingRegressor,0.1776,0.3236,0.4214,0.5463,0.7393,0.7314,0.1819,0.2946,0.4265,0.6062,0.7803,0.7203
AdaBoostRegressor,0.2099,0.3836,0.4582,0.4637,0.7091,0.7005,0.2105,0.3461,0.4588,0.5443,0.7695,0.7003
XGBRegressor,0.1833,0.3354,0.4281,0.5318,0.7340,0.7275,0.1952,0.3012,0.4418,0.5775,0.7604,0.7178
ExtraTreesRegressor,0.2083,0.3455,0.4564,0.4678,0.6893,0.6916,0.2126,0.3289,0.4611,0.5397,0.7348,0.6714
LinearRegression,1.6269,0.8080,1.2755,-3.1567,0.4027,0.4544,1.1728,0.6590,1.0830,-1.5392,0.2770,0.4224
KNeighborsRegressor,0.2716,0.3913,0.5212,0.3060,0.5888,0.5846,0.3531,0.4484,0.5942,0.2355,0.5230,0.4413
SVR,0.2512,0.3991,0.5012,0.3581,0.6008,0.5831,0.2462,0.3566,0.4962,0.4670,0.6851,0.6287
MLPRegressor,1.2100,0.8426,1.1000,-2.0916,0.2810,0.2507,0.7058,0.6625,0.8401,-0.5281,0.4925,0.4135
