,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1221,0.2800,0.3495,0.6879,0.8387,0.8334,0.2173,0.3444,0.4662,0.5295,0.7400,0.7304
DecisionTreeRegressor,0.2675,0.4162,0.5172,0.3164,0.6316,0.6224,0.2410,0.3759,0.4909,0.4782,0.7034,0.6223
RandomForestRegressor,0.1718,0.3388,0.4145,0.5611,0.7625,0.7541,0.2143,0.3415,0.4629,0.5361,0.7532,0.7104
GradientBoostingRegressor,0.1398,0.2985,0.3739,0.6428,0.8038,0.7918,0.2191,0.3448,0.4680,0.5257,0.7358,0.7094
AdaBoostRegressor,0.1581,0.3350,0.3976,0.5960,0.7815,0.7716,0.2493,0.3671,0.4993,0.4603,0.6881,0.6587
XGBRegressor,0.1743,0.3348,0.4175,0.5545,0.7455,0.7262,0.2001,0.3327,0.4473,0.5669,0.7736,0.7560
ExtraTreesRegressor,0.1431,0.2953,0.3782,0.6345,0.8023,0.7825,0.2089,0.3418,0.4571,0.5477,0.7481,0.7060
LinearRegression,0.3626,0.4607,0.6022,0.0735,0.6575,0.6602,0.3830,0.4615,0.6189,0.1707,0.6301,0.6842
KNeighborsRegressor,0.2092,0.3467,0.4574,0.4655,0.7088,0.7112,0.2903,0.3856,0.5388,0.3715,0.6247,0.5678
SVR,0.1508,0.3037,0.3884,0.6146,0.7939,0.7905,0.2652,0.3880,0.5150,0.4258,0.6529,0.5640
MLPRegressor,0.7220,0.5867,0.8497,-0.8446,0.4224,0.4458,1.3617,0.8215,1.1669,-1.9480,0.0756,0.1223
