,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1428,0.3041,0.3779,0.6350,0.8005,0.7939,0.2134,0.3359,0.4619,0.5380,0.7441,0.7286
DecisionTreeRegressor,0.2957,0.4214,0.5438,0.2446,0.6181,0.5683,0.2384,0.3765,0.4883,0.4838,0.7004,0.6559
RandomForestRegressor,0.1722,0.3362,0.4149,0.5601,0.7638,0.7523,0.2100,0.3342,0.4582,0.5454,0.7609,0.7090
GradientBoostingRegressor,0.1390,0.3015,0.3728,0.6449,0.8051,0.7899,0.2099,0.3374,0.4582,0.5455,0.7518,0.7275
AdaBoostRegressor,0.1566,0.3259,0.3957,0.6000,0.7859,0.7669,0.2147,0.3505,0.4634,0.5351,0.7468,0.7153
XGBRegressor,0.1943,0.3527,0.4408,0.5036,0.7128,0.6913,0.2002,0.3204,0.4475,0.5665,0.7691,0.7432
ExtraTreesRegressor,0.1392,0.2881,0.3730,0.6444,0.8083,0.7875,0.2033,0.3365,0.4509,0.5598,0.7586,0.7270
LinearRegression,0.3663,0.4653,0.6053,0.0640,0.6443,0.6339,0.4208,0.4262,0.6487,0.0891,0.6055,0.6653
KNeighborsRegressor,0.2040,0.3450,0.4516,0.4789,0.7173,0.7224,0.2699,0.3589,0.5195,0.4157,0.6554,0.6043
SVR,0.1507,0.3021,0.3883,0.6149,0.7930,0.7960,0.2479,0.3744,0.4979,0.4633,0.6839,0.5948
MLPRegressor,0.7226,0.5999,0.8501,-0.8462,0.4127,0.4307,1.3770,0.7814,1.1734,-1.9812,0.2409,0.3450
