,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1428,0.3041,0.3779,0.6350,0.8005,0.7939,0.2134,0.3359,0.4619,0.5380,0.7441,0.7286
DecisionTreeRegressor,0.2792,0.4086,0.5284,0.2867,0.6277,0.5998,0.2312,0.3567,0.4808,0.4995,0.7213,0.6930
RandomForestRegressor,0.1728,0.3386,0.4156,0.5586,0.7610,0.7506,0.2124,0.3377,0.4609,0.5400,0.7548,0.7086
GradientBoostingRegressor,0.1402,0.3030,0.3744,0.6418,0.8029,0.7915,0.2119,0.3417,0.4603,0.5412,0.7489,0.7200
AdaBoostRegressor,0.1592,0.3293,0.3990,0.5933,0.7834,0.7789,0.2121,0.3432,0.4605,0.5409,0.7519,0.6922
XGBRegressor,0.1943,0.3527,0.4408,0.5036,0.7128,0.6913,0.2002,0.3204,0.4475,0.5665,0.7691,0.7432
ExtraTreesRegressor,0.1378,0.2892,0.3713,0.6479,0.8107,0.7830,0.2046,0.3358,0.4524,0.5570,0.7561,0.7240
LinearRegression,0.3663,0.4653,0.6053,0.0640,0.6443,0.6339,0.4208,0.4262,0.6487,0.0891,0.6055,0.6653
KNeighborsRegressor,0.2040,0.3450,0.4516,0.4789,0.7173,0.7224,0.2699,0.3589,0.5195,0.4157,0.6554,0.6043
SVR,0.1507,0.3021,0.3883,0.6148,0.7930,0.7960,0.2490,0.3750,0.4990,0.4609,0.6819,0.5899
MLPRegressor,0.6230,0.5768,0.7893,-0.5918,0.4688,0.4733,1.1904,0.7719,1.0910,-1.5772,0.0476,0.0758
