,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1228,0.2746,0.3504,0.6862,0.8354,0.8321,0.2100,0.3269,0.4582,0.5454,0.7433,0.7101
DecisionTreeRegressor,0.2165,0.3494,0.4653,0.4469,0.7222,0.7116,0.2470,0.3638,0.4970,0.4653,0.6899,0.6761
RandomForestRegressor,0.1565,0.3145,0.3957,0.6000,0.7821,0.7757,0.1846,0.3111,0.4297,0.6003,0.7873,0.7600
GradientBoostingRegressor,0.1336,0.2807,0.3655,0.6587,0.8122,0.8003,0.1985,0.3342,0.4455,0.5702,0.7590,0.7468
AdaBoostRegressor,0.1652,0.3298,0.4065,0.5779,0.7712,0.7759,0.2031,0.3405,0.4507,0.5602,0.7639,0.7441
XGBRegressor,0.1753,0.3172,0.4187,0.5522,0.7483,0.7402,0.1745,0.3065,0.4177,0.6223,0.7990,0.7671
ExtraTreesRegressor,0.1379,0.2824,0.3713,0.6478,0.8072,0.8070,0.1882,0.3213,0.4339,0.5925,0.7772,0.7542
LinearRegression,7.4995,2.2488,2.7385,-18.1611,0.0167,0.0229,3.2726,1.4076,1.8090,-6.0853,0.2403,0.2549
KNeighborsRegressor,0.2045,0.3339,0.4522,0.4775,0.7204,0.7150,0.2721,0.3669,0.5216,0.4110,0.6475,0.5824
SVR,0.1569,0.3004,0.3961,0.5991,0.7801,0.7816,0.2543,0.3733,0.5042,0.4495,0.6708,0.6022
MLPRegressor,0.4311,0.4416,0.6566,-0.1015,0.5967,0.6078,1.3769,0.6845,1.1734,-1.9811,0.1696,0.3599
