,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1510,0.2996,0.3886,0.6142,0.7860,0.7823,0.2119,0.3307,0.4603,0.5413,0.7404,0.6971
DecisionTreeRegressor,0.2303,0.3690,0.4799,0.4115,0.6833,0.6592,0.2044,0.3530,0.4521,0.5575,0.7531,0.6995
RandomForestRegressor,0.1498,0.3093,0.3871,0.6172,0.7962,0.7882,0.1961,0.3234,0.4428,0.5755,0.7761,0.7373
GradientBoostingRegressor,0.1242,0.2760,0.3524,0.6828,0.8268,0.8178,0.2129,0.3349,0.4614,0.5390,0.7430,0.7205
AdaBoostRegressor,0.1749,0.3417,0.4182,0.5532,0.7622,0.7613,0.2132,0.3468,0.4618,0.5383,0.7533,0.7067
XGBRegressor,0.1588,0.3118,0.3985,0.5943,0.7747,0.7630,0.2015,0.3398,0.4489,0.5637,0.7594,0.7500
ExtraTreesRegressor,0.1306,0.2799,0.3614,0.6664,0.8218,0.8131,0.1876,0.3188,0.4331,0.5938,0.7830,0.7434
LinearRegression,10.4546,2.7676,3.2334,-25.7115,0.1522,0.1552,4.0589,1.5888,2.0147,-7.7876,-0.0348,0.0192
KNeighborsRegressor,0.2006,0.3248,0.4479,0.4875,0.7281,0.7081,0.2555,0.3424,0.5055,0.4468,0.6843,0.6538
SVR,0.1468,0.2984,0.3832,0.6249,0.7943,0.7922,0.2432,0.3661,0.4932,0.4735,0.6893,0.5962
MLPRegressor,0.7743,0.6276,0.8799,-0.9783,0.3824,0.4231,1.1285,0.7342,1.0623,-1.4432,0.1402,0.2022
