,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1305,0.2846,0.3613,0.6665,0.8216,0.8105,0.2036,0.3249,0.4512,0.5592,0.7526,0.7014
DecisionTreeRegressor,0.2374,0.3723,0.4873,0.3934,0.6886,0.6682,0.1898,0.3121,0.4356,0.5891,0.7741,0.7628
RandomForestRegressor,0.1615,0.3171,0.4019,0.5873,0.7754,0.7674,0.1797,0.3081,0.4239,0.6109,0.7981,0.7643
GradientBoostingRegressor,0.1496,0.2984,0.3868,0.6177,0.7883,0.7856,0.1877,0.3212,0.4332,0.5936,0.7785,0.7530
AdaBoostRegressor,0.1739,0.3380,0.4170,0.5557,0.7545,0.7673,0.1908,0.3307,0.4368,0.5870,0.7911,0.7611
XGBRegressor,0.1957,0.3463,0.4423,0.5001,0.7150,0.6998,0.1770,0.3152,0.4208,0.6167,0.7969,0.7776
ExtraTreesRegressor,0.1379,0.2828,0.3714,0.6476,0.8074,0.8027,0.1860,0.3206,0.4312,0.5974,0.7802,0.7510
LinearRegression,6.9502,2.1322,2.6363,-16.7576,0.1291,0.1098,3.9329,1.5380,1.9832,-7.5149,0.1835,0.2001
KNeighborsRegressor,0.1883,0.3164,0.4339,0.5190,0.7418,0.7430,0.2550,0.3499,0.5049,0.4480,0.6747,0.6361
SVR,0.1543,0.2948,0.3928,0.6058,0.7836,0.7925,0.2433,0.3634,0.4933,0.4732,0.6890,0.6033
MLPRegressor,0.7670,0.6182,0.8758,-0.9596,0.4049,0.4014,0.9364,0.6677,0.9677,-1.0274,0.4259,0.4295
