,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1305,0.2846,0.3613,0.6665,0.8216,0.8105,0.2036,0.3249,0.4512,0.5592,0.7526,0.7014
DecisionTreeRegressor,0.2534,0.3831,0.5033,0.3527,0.6763,0.6618,0.1640,0.3127,0.4050,0.6448,0.8155,0.7876
RandomForestRegressor,0.1605,0.3174,0.4007,0.5898,0.7771,0.7706,0.1754,0.3040,0.4188,0.6202,0.8038,0.7723
GradientBoostingRegressor,0.1456,0.2959,0.3815,0.6281,0.7950,0.7901,0.1859,0.3213,0.4312,0.5975,0.7820,0.7563
AdaBoostRegressor,0.1744,0.3389,0.4176,0.5544,0.7542,0.7650,0.1964,0.3483,0.4432,0.5748,0.7737,0.7289
XGBRegressor,0.1957,0.3463,0.4423,0.5001,0.7150,0.6998,0.1770,0.3152,0.4208,0.6167,0.7969,0.7776
ExtraTreesRegressor,0.1401,0.2835,0.3743,0.6420,0.8036,0.7983,0.1827,0.3222,0.4275,0.6044,0.7876,0.7570
LinearRegression,6.9502,2.1322,2.6363,-16.7576,0.1291,0.1098,3.9329,1.5380,1.9832,-7.5149,0.1835,0.2001
KNeighborsRegressor,0.1883,0.3164,0.4339,0.5190,0.7418,0.7430,0.2550,0.3499,0.5049,0.4480,0.6747,0.6361
SVR,0.1543,0.2948,0.3928,0.6058,0.7835,0.7926,0.2450,0.3642,0.4949,0.4696,0.6863,0.5984
MLPRegressor,0.5948,0.5220,0.7712,-0.5198,0.4954,0.5114,0.8138,0.6201,0.9021,-0.7619,0.2739,0.3130
