,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1274,0.2805,0.3569,0.6745,0.8266,0.8290,0.2178,0.3376,0.4667,0.5284,0.7306,0.6999
DecisionTreeRegressor,0.2779,0.3956,0.5272,0.2899,0.6327,0.6505,0.2278,0.3500,0.4773,0.5069,0.7130,0.6807
RandomForestRegressor,0.1590,0.3159,0.3987,0.5938,0.7795,0.7726,0.1937,0.3197,0.4401,0.5807,0.7769,0.7423
GradientBoostingRegressor,0.1272,0.2798,0.3566,0.6750,0.8219,0.8097,0.2096,0.3284,0.4579,0.5461,0.7413,0.7003
AdaBoostRegressor,0.1789,0.3322,0.4230,0.5429,0.7442,0.7662,0.2087,0.3475,0.4569,0.5481,0.7578,0.7298
XGBRegressor,0.1816,0.3309,0.4262,0.5360,0.7371,0.7322,0.1913,0.3174,0.4374,0.5858,0.7755,0.7419
ExtraTreesRegressor,0.1373,0.2860,0.3705,0.6492,0.8082,0.8025,0.1800,0.3083,0.4243,0.6103,0.7885,0.7551
LinearRegression,6.9923,2.1715,2.6443,-16.8653,0.0314,0.0254,3.1158,1.3136,1.7652,-5.7457,0.2298,0.2253
KNeighborsRegressor,0.1984,0.3319,0.4454,0.4932,0.7295,0.7372,0.2660,0.3581,0.5158,0.4241,0.6560,0.5752
SVR,0.1667,0.3069,0.4083,0.5741,0.7609,0.7609,0.2585,0.3784,0.5085,0.4402,0.6646,0.5955
MLPRegressor,0.6681,0.5880,0.8173,-0.7069,0.4956,0.4774,0.9651,0.6950,0.9824,-1.0894,0.2289,0.1801
