,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1350,0.2918,0.3675,0.6550,0.8134,0.8063,0.2115,0.3293,0.4599,0.5422,0.7399,0.7062
DecisionTreeRegressor,0.2668,0.3833,0.5165,0.3184,0.6421,0.6380,0.2104,0.3438,0.4587,0.5444,0.7416,0.7224
RandomForestRegressor,0.1610,0.3155,0.4013,0.5885,0.7781,0.7672,0.1821,0.3118,0.4267,0.6059,0.7965,0.7639
GradientBoostingRegressor,0.1472,0.2985,0.3837,0.6239,0.7919,0.7771,0.1791,0.3058,0.4232,0.6123,0.7911,0.7573
AdaBoostRegressor,0.1580,0.3322,0.3974,0.5964,0.7913,0.7936,0.1944,0.3342,0.4409,0.5792,0.7827,0.7387
XGBRegressor,0.2083,0.3483,0.4564,0.4679,0.6916,0.7094,0.1861,0.3184,0.4314,0.5970,0.7832,0.7422
ExtraTreesRegressor,0.1343,0.2813,0.3664,0.6569,0.8140,0.8086,0.1778,0.3106,0.4217,0.6151,0.7947,0.7670
LinearRegression,7.6648,2.2783,2.7685,-18.5835,0.1288,0.1093,3.8051,1.4854,1.9507,-7.2381,0.1368,0.1960
KNeighborsRegressor,0.1969,0.3290,0.4437,0.4969,0.7267,0.7297,0.2407,0.3491,0.4906,0.4789,0.6936,0.6249
SVR,0.1653,0.3036,0.4066,0.5776,0.7629,0.7654,0.2490,0.3707,0.4990,0.4609,0.6804,0.6074
MLPRegressor,0.5463,0.5203,0.7391,-0.3958,0.5244,0.5526,0.6528,0.5359,0.8079,-0.4133,0.4586,0.4849
