,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1350,0.2918,0.3675,0.6550,0.8134,0.8063,0.2115,0.3293,0.4599,0.5422,0.7399,0.7062
DecisionTreeRegressor,0.2849,0.3948,0.5337,0.2721,0.6119,0.6257,0.1983,0.3219,0.4454,0.5706,0.7593,0.7158
RandomForestRegressor,0.1598,0.3165,0.3997,0.5917,0.7801,0.7701,0.1832,0.3133,0.4280,0.6033,0.7943,0.7630
GradientBoostingRegressor,0.1469,0.2981,0.3833,0.6247,0.7919,0.7800,0.1795,0.3074,0.4236,0.6114,0.7905,0.7542
AdaBoostRegressor,0.1671,0.3255,0.4087,0.5731,0.7671,0.7784,0.1997,0.3413,0.4469,0.5676,0.7796,0.7217
XGBRegressor,0.2083,0.3483,0.4564,0.4679,0.6916,0.7094,0.1861,0.3184,0.4314,0.5970,0.7832,0.7422
ExtraTreesRegressor,0.1382,0.2856,0.3717,0.6469,0.8069,0.7994,0.1798,0.3152,0.4240,0.6107,0.7907,0.7689
LinearRegression,7.6648,2.2783,2.7685,-18.5835,0.1288,0.1093,3.8051,1.4854,1.9507,-7.2381,0.1368,0.1960
KNeighborsRegressor,0.1969,0.3290,0.4437,0.4969,0.7267,0.7297,0.2407,0.3491,0.4906,0.4789,0.6936,0.6249
SVR,0.1653,0.3036,0.4066,0.5776,0.7629,0.7654,0.2513,0.3719,0.5013,0.4560,0.6765,0.6074
MLPRegressor,0.4646,0.4787,0.6816,-0.1871,0.5834,0.6017,0.7040,0.5606,0.8391,-0.5242,0.3798,0.3379
