,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1231,0.2831,0.3509,0.6855,0.8368,0.8314,0.2035,0.3239,0.4511,0.5595,0.7517,0.7042
DecisionTreeRegressor,0.2043,0.3390,0.4520,0.4779,0.7272,0.7157,0.2751,0.3895,0.5245,0.4043,0.6413,0.6034
RandomForestRegressor,0.1617,0.3186,0.4021,0.5868,0.7717,0.7621,0.2084,0.3320,0.4565,0.5488,0.7478,0.6961
GradientBoostingRegressor,0.1324,0.2870,0.3639,0.6616,0.8141,0.8097,0.2151,0.3364,0.4638,0.5343,0.7318,0.7034
AdaBoostRegressor,0.1993,0.3597,0.4465,0.4907,0.7045,0.7274,0.2057,0.3464,0.4536,0.5546,0.7565,0.7260
XGBRegressor,0.1679,0.3198,0.4097,0.5711,0.7595,0.7578,0.2165,0.3423,0.4653,0.5314,0.7302,0.7058
ExtraTreesRegressor,0.1333,0.2789,0.3650,0.6595,0.8150,0.8067,0.2017,0.3283,0.4492,0.5632,0.7543,0.7013
LinearRegression,1.0752,0.7144,1.0369,-1.7472,0.2836,0.3257,0.5567,0.5557,0.7461,-0.2052,0.6368,0.5727
KNeighborsRegressor,0.2073,0.3424,0.4553,0.4704,0.7055,0.7201,0.2312,0.3358,0.4808,0.4995,0.7090,0.6612
SVR,0.1524,0.2932,0.3904,0.6106,0.7884,0.7918,0.2155,0.3370,0.4642,0.5335,0.7377,0.6989
MLPRegressor,0.5782,0.5130,0.7604,-0.4773,0.5058,0.5182,0.8722,0.6765,0.9339,-0.8884,0.3851,0.3641
