,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1255,0.2832,0.3543,0.6793,0.8302,0.8177,0.1871,0.3151,0.4325,0.5949,0.7786,0.7262
DecisionTreeRegressor,0.2785,0.3920,0.5277,0.2885,0.6228,0.6159,0.2421,0.3845,0.4920,0.4758,0.6971,0.6279
RandomForestRegressor,0.1636,0.3204,0.4045,0.5820,0.7693,0.7608,0.1983,0.3240,0.4453,0.5708,0.7665,0.7145
GradientBoostingRegressor,0.1383,0.2809,0.3719,0.6467,0.8065,0.8058,0.1962,0.3262,0.4429,0.5753,0.7604,0.7299
AdaBoostRegressor,0.1639,0.3298,0.4049,0.5812,0.7693,0.7693,0.1983,0.3365,0.4453,0.5706,0.7771,0.7296
XGBRegressor,0.1649,0.3024,0.4060,0.5787,0.7634,0.7568,0.2080,0.3398,0.4560,0.5498,0.7435,0.7114
ExtraTreesRegressor,0.1414,0.2869,0.3761,0.6387,0.8024,0.7903,0.2037,0.3335,0.4513,0.5590,0.7524,0.7086
LinearRegression,0.9985,0.6888,0.9992,-1.5512,0.3491,0.4125,0.4459,0.4949,0.6678,0.0346,0.6863,0.6833
KNeighborsRegressor,0.1980,0.3281,0.4450,0.4940,0.7179,0.7226,0.2616,0.3599,0.5115,0.4336,0.6644,0.6061
SVR,0.1475,0.2846,0.3840,0.6232,0.7972,0.8099,0.2090,0.3319,0.4571,0.5476,0.7484,0.6905
MLPRegressor,0.5260,0.5025,0.7253,-0.3440,0.5368,0.5406,0.7501,0.5989,0.8661,-0.6241,0.3803,0.3658
