,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1255,0.2832,0.3543,0.6793,0.8302,0.8177,0.1871,0.3151,0.4325,0.5949,0.7786,0.7262
DecisionTreeRegressor,0.2644,0.3887,0.5142,0.3245,0.6237,0.6120,0.2329,0.3805,0.4826,0.4958,0.7089,0.6772
RandomForestRegressor,0.1645,0.3191,0.4056,0.5796,0.7677,0.7601,0.1986,0.3248,0.4456,0.5701,0.7656,0.7205
GradientBoostingRegressor,0.1349,0.2785,0.3673,0.6552,0.8116,0.8057,0.1969,0.3249,0.4438,0.5736,0.7598,0.7229
AdaBoostRegressor,0.1792,0.3385,0.4234,0.5420,0.7422,0.7681,0.2045,0.3353,0.4522,0.5572,0.7729,0.7080
XGBRegressor,0.1649,0.3024,0.4060,0.5787,0.7634,0.7568,0.2080,0.3398,0.4560,0.5498,0.7435,0.7114
ExtraTreesRegressor,0.1357,0.2776,0.3683,0.6534,0.8120,0.8067,0.2028,0.3291,0.4503,0.5609,0.7528,0.7026
LinearRegression,0.9985,0.6888,0.9992,-1.5512,0.3491,0.4125,0.4459,0.4949,0.6678,0.0346,0.6863,0.6833
KNeighborsRegressor,0.1980,0.3281,0.4450,0.4940,0.7179,0.7226,0.2616,0.3599,0.5115,0.4336,0.6644,0.6061
SVR,0.1475,0.2846,0.3840,0.6232,0.7972,0.8099,0.2081,0.3315,0.4562,0.5495,0.7498,0.6951
MLPRegressor,0.5395,0.5010,0.7345,-0.3785,0.4997,0.5201,0.5806,0.4952,0.7620,-0.2570,0.4516,0.4001
