,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1735,0.3398,0.4165,0.5567,0.7499,0.7387,0.2304,0.3509,0.4800,0.5011,0.7128,0.6504
DecisionTreeRegressor,0.3370,0.4306,0.5805,0.1389,0.5447,0.5540,0.1997,0.3239,0.4469,0.5676,0.7536,0.7149
RandomForestRegressor,0.1590,0.3107,0.3988,0.5937,0.7759,0.7606,0.2060,0.3279,0.4539,0.5540,0.7536,0.7057
GradientBoostingRegressor,0.1430,0.2936,0.3782,0.6345,0.7977,0.7864,0.2105,0.3379,0.4588,0.5442,0.7430,0.6891
AdaBoostRegressor,0.1725,0.3371,0.4153,0.5593,0.7599,0.7790,0.2263,0.3669,0.4757,0.5101,0.7411,0.6900
XGBRegressor,0.1981,0.3407,0.4451,0.4939,0.7166,0.7007,0.1974,0.3241,0.4442,0.5727,0.7585,0.6823
ExtraTreesRegressor,0.1351,0.2833,0.3676,0.6548,0.8118,0.7957,0.2119,0.3539,0.4603,0.5413,0.7434,0.6841
LinearRegression,3.0287,1.1523,1.7403,-6.7383,0.2753,0.3328,0.7967,0.6228,0.8926,-0.7249,0.4003,0.4121
KNeighborsRegressor,0.1758,0.3169,0.4193,0.5507,0.7774,0.7641,0.3123,0.3862,0.5588,0.3239,0.6012,0.5096
SVR,0.1452,0.3001,0.3810,0.6290,0.8037,0.7987,0.2491,0.3809,0.4991,0.4606,0.6843,0.6148
MLPRegressor,0.5068,0.4678,0.7119,-0.2948,0.4741,0.5335,0.7354,0.5980,0.8575,-0.5921,0.4178,0.3848
