,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1697,0.3419,0.4119,0.5665,0.7556,0.7481,0.2327,0.3590,0.4824,0.4962,0.7107,0.6692
DecisionTreeRegressor,0.3491,0.4368,0.5909,0.1079,0.5311,0.5291,0.1959,0.3234,0.4426,0.5759,0.7589,0.7068
RandomForestRegressor,0.1593,0.3115,0.3992,0.5929,0.7750,0.7554,0.2097,0.3355,0.4579,0.5460,0.7497,0.7169
GradientBoostingRegressor,0.1368,0.2873,0.3699,0.6504,0.8070,0.7941,0.2001,0.3408,0.4473,0.5669,0.7613,0.7155
AdaBoostRegressor,0.1795,0.3400,0.4237,0.5414,0.7437,0.7628,0.2256,0.3636,0.4750,0.5116,0.7415,0.6785
XGBRegressor,0.1945,0.3432,0.4410,0.5031,0.7201,0.7042,0.1913,0.3295,0.4374,0.5858,0.7693,0.7101
ExtraTreesRegressor,0.1339,0.2832,0.3659,0.6579,0.8130,0.7987,0.2136,0.3538,0.4622,0.5375,0.7389,0.6802
LinearRegression,2.5047,1.0026,1.5826,-5.3996,0.2508,0.3197,0.9230,0.6226,0.9607,-0.9984,0.4649,0.5461
KNeighborsRegressor,0.1699,0.3148,0.4122,0.5659,0.7855,0.7717,0.2863,0.3691,0.5351,0.3801,0.6424,0.5672
SVR,0.1461,0.3037,0.3823,0.6266,0.8026,0.7961,0.2502,0.3819,0.5002,0.4584,0.6828,0.6097
MLPRegressor,0.5946,0.5164,0.7711,-0.5193,0.4232,0.4973,0.7259,0.6018,0.8520,-0.5716,0.5079,0.4640
