,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1735,0.3398,0.4165,0.5567,0.7499,0.7387,0.2304,0.3509,0.4800,0.5011,0.7128,0.6504
DecisionTreeRegressor,0.3170,0.4228,0.5630,0.1901,0.5717,0.5890,0.1932,0.3088,0.4396,0.5816,0.7637,0.7153
RandomForestRegressor,0.1629,0.3126,0.4036,0.5837,0.7695,0.7519,0.2085,0.3316,0.4566,0.5486,0.7506,0.7068
GradientBoostingRegressor,0.1385,0.2866,0.3722,0.6461,0.8047,0.7956,0.2128,0.3407,0.4613,0.5394,0.7393,0.6705
AdaBoostRegressor,0.1800,0.3366,0.4242,0.5402,0.7426,0.7748,0.2237,0.3613,0.4730,0.5157,0.7425,0.6888
XGBRegressor,0.1981,0.3407,0.4451,0.4939,0.7166,0.7007,0.1974,0.3241,0.4442,0.5727,0.7585,0.6823
ExtraTreesRegressor,0.1305,0.2781,0.3613,0.6665,0.8186,0.8017,0.2147,0.3553,0.4634,0.5351,0.7388,0.6793
LinearRegression,3.0287,1.1523,1.7403,-6.7383,0.2753,0.3328,0.7967,0.6228,0.8926,-0.7249,0.4003,0.4121
KNeighborsRegressor,0.1762,0.3164,0.4198,0.5498,0.7770,0.7643,0.3074,0.3844,0.5545,0.3344,0.6089,0.5131
SVR,0.1452,0.3001,0.3810,0.6290,0.8037,0.7987,0.2493,0.3810,0.4993,0.4603,0.6840,0.6148
MLPRegressor,0.5526,0.4867,0.7434,-0.4119,0.4427,0.5263,0.7713,0.6166,0.8782,-0.6699,0.3886,0.3082
