,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2976,0.4625,0.5455,0.2397,0.4923,0.4824,0.3384,0.4897,0.5817,0.2673,0.5187,0.4955
DecisionTreeRegressor,0.5844,0.5918,0.7645,-0.4931,0.2268,0.1942,0.2760,0.4306,0.5254,0.4024,0.6383,0.6572
RandomForestRegressor,0.2950,0.4587,0.5431,0.2464,0.5034,0.5028,0.2944,0.4534,0.5425,0.3627,0.6033,0.5849
GradientBoostingRegressor,0.3055,0.4529,0.5527,0.2194,0.5027,0.4769,0.3218,0.4789,0.5672,0.3034,0.5598,0.5263
AdaBoostRegressor,0.3041,0.4559,0.5515,0.2229,0.4784,0.4939,0.3195,0.4769,0.5653,0.3082,0.5616,0.5605
XGBRegressor,0.3628,0.5050,0.6023,0.0731,0.4172,0.4024,0.3356,0.4820,0.5793,0.2735,0.5472,0.5185
ExtraTreesRegressor,0.3035,0.4606,0.5509,0.2246,0.4963,0.4847,0.2860,0.4347,0.5348,0.3808,0.6202,0.5722
LinearRegression,0.4094,0.5435,0.6398,-0.0459,0.2816,0.2698,0.3294,0.4809,0.5739,0.2868,0.5401,0.4913
KNeighborsRegressor,0.3663,0.4932,0.6052,0.0641,0.3845,0.3861,0.3306,0.4562,0.5749,0.2843,0.5418,0.5356
SVR,0.3171,0.4719,0.5631,0.1899,0.4590,0.4386,0.3068,0.4554,0.5539,0.3358,0.6031,0.5924
MLPRegressor,2.0216,1.1779,1.4218,-4.1652,0.0630,0.0658,2.6003,1.4129,1.6125,-4.6297,-0.1905,-0.0955
