,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.2056,0.3826,0.4534,0.4747,0.6905,0.6710,0.2867,0.4143,0.5355,0.3792,0.6201,0.5641
DecisionTreeRegressor,0.3773,0.4585,0.6143,0.0359,0.4867,0.4606,0.3794,0.4902,0.6160,0.1785,0.4444,0.4279
RandomForestRegressor,0.2357,0.4054,0.4855,0.3978,0.6349,0.6011,0.2793,0.4269,0.5285,0.3952,0.6383,0.5966
GradientBoostingRegressor,0.1969,0.3677,0.4438,0.4968,0.7065,0.6720,0.2648,0.4006,0.5145,0.4268,0.6550,0.6021
AdaBoostRegressor,0.2208,0.3874,0.4699,0.4359,0.6665,0.6309,0.2946,0.4373,0.5428,0.3622,0.6038,0.5836
XGBRegressor,0.2362,0.3888,0.4860,0.3964,0.6420,0.6221,0.2736,0.4114,0.5231,0.4077,0.6420,0.6019
ExtraTreesRegressor,0.1840,0.3508,0.4290,0.5298,0.7372,0.7149,0.2575,0.4120,0.5074,0.4425,0.6763,0.6255
LinearRegression,0.8931,0.7407,0.9450,-1.2818,0.3340,0.2879,0.5618,0.5337,0.7495,-0.2163,0.4251,0.4057
KNeighborsRegressor,0.2402,0.3903,0.4901,0.3862,0.6275,0.6282,0.3968,0.5030,0.6299,0.1409,0.4447,0.4387
SVR,0.2171,0.3827,0.4659,0.4453,0.6713,0.6461,0.2915,0.4419,0.5399,0.3688,0.6261,0.5879
MLPRegressor,1.1665,0.8817,1.0801,-1.9805,0.2987,0.2620,1.1687,0.8907,1.0811,-1.5304,0.0471,0.0179
