,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1162,0.2548,0.3408,0.7032,0.8389,0.8543,0.3182,0.4138,0.5641,0.3110,0.6013,0.5280
DecisionTreeRegressor,0.1817,0.3221,0.4263,0.5358,0.7597,0.7689,0.3498,0.4396,0.5914,0.2427,0.5553,0.4908
RandomForestRegressor,0.1090,0.2408,0.3301,0.7215,0.8494,0.8648,0.3378,0.4294,0.5812,0.2687,0.5695,0.4556
GradientBoostingRegressor,0.1211,0.2434,0.3480,0.6906,0.8325,0.8510,0.3226,0.4157,0.5680,0.3015,0.5880,0.5025
AdaBoostRegressor,0.1279,0.2646,0.3577,0.6732,0.8216,0.8405,0.3156,0.4197,0.5618,0.3166,0.6040,0.5376
XGBRegressor,0.1347,0.2699,0.3670,0.6559,0.8172,0.8384,0.3475,0.4402,0.5895,0.2476,0.5668,0.4407
ExtraTreesRegressor,0.1208,0.2525,0.3475,0.6915,0.8324,0.8440,0.3387,0.4253,0.5819,0.2668,0.5658,0.4434
LinearRegression,1.1700,0.8188,1.0817,-1.9893,0.3750,0.3518,0.6201,0.5874,0.7875,-0.3425,0.4055,0.4369
KNeighborsRegressor,0.1234,0.2642,0.3513,0.6847,0.8289,0.8346,0.3277,0.4223,0.5725,0.2905,0.5839,0.5518
SVR,0.1142,0.2428,0.3380,0.7082,0.8416,0.8510,0.3292,0.4126,0.5738,0.2872,0.5730,0.5196
MLPRegressor,0.8599,0.6938,0.9273,-1.1970,0.4037,0.4256,0.9488,0.6721,0.9740,-1.0541,0.1448,0.1446
