,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1517,0.3023,0.3895,0.6124,0.7834,0.7873,0.2184,0.3390,0.4673,0.5272,0.7290,0.6812
DecisionTreeRegressor,0.2352,0.3765,0.4850,0.3990,0.6853,0.6641,0.2580,0.3931,0.5079,0.4414,0.6707,0.6734
RandomForestRegressor,0.1517,0.3074,0.3894,0.6125,0.7834,0.7803,0.2357,0.3397,0.4855,0.4897,0.7010,0.6395
GradientBoostingRegressor,0.1690,0.3211,0.4110,0.5683,0.7566,0.7654,0.2096,0.3226,0.4578,0.5463,0.7405,0.7150
AdaBoostRegressor,0.1613,0.3145,0.4017,0.5878,0.7671,0.7810,0.2355,0.3501,0.4852,0.4902,0.7019,0.6524
XGBRegressor,0.1920,0.3313,0.4382,0.5094,0.7269,0.7329,0.2349,0.3530,0.4846,0.4915,0.7057,0.6738
ExtraTreesRegressor,0.1534,0.3042,0.3916,0.6081,0.7799,0.7846,0.2154,0.3234,0.4641,0.5337,0.7319,0.6793
LinearRegression,0.9530,0.7386,0.9762,-1.4348,0.4146,0.4458,1.0019,0.6618,1.0009,-1.1691,0.3769,0.3851
KNeighborsRegressor,0.1886,0.3242,0.4343,0.5181,0.7320,0.7449,0.2753,0.3622,0.5247,0.4039,0.6486,0.6003
SVR,0.1730,0.3156,0.4160,0.5579,0.7480,0.7732,0.2448,0.3518,0.4948,0.4700,0.6885,0.6675
MLPRegressor,0.6890,0.6449,0.8300,-0.7603,0.4456,0.4363,0.6443,0.6444,0.8027,-0.3949,0.2246,0.2365
