,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.0894,0.2248,0.2991,0.7715,0.8788,0.8865,0.2617,0.3567,0.5116,0.4334,0.6810,0.6514
DecisionTreeRegressor,0.1771,0.3046,0.4209,0.5474,0.7626,0.7854,0.2616,0.3673,0.5115,0.4336,0.6938,0.6580
RandomForestRegressor,0.0839,0.2114,0.2896,0.7857,0.8875,0.8971,0.2637,0.3539,0.5135,0.4291,0.6750,0.6429
GradientBoostingRegressor,0.0883,0.2142,0.2972,0.7744,0.8800,0.8855,0.2457,0.3423,0.4957,0.4681,0.7050,0.6730
AdaBoostRegressor,0.0882,0.2182,0.2970,0.7747,0.8811,0.8905,0.2518,0.3561,0.5018,0.4548,0.6944,0.6441
XGBRegressor,0.0937,0.2295,0.3061,0.7606,0.8723,0.8801,0.2404,0.3502,0.4904,0.4794,0.7130,0.6826
ExtraTreesRegressor,0.0933,0.2238,0.3054,0.7617,0.8736,0.8845,0.2441,0.3412,0.4941,0.4715,0.7033,0.6709
LinearRegression,0.4102,0.4845,0.6405,-0.0480,0.6986,0.6998,0.3838,0.4484,0.6195,0.1691,0.6263,0.5738
KNeighborsRegressor,0.1244,0.2514,0.3527,0.6821,0.8296,0.8439,0.2659,0.3452,0.5157,0.4242,0.6838,0.6417
SVR,0.0952,0.2247,0.3086,0.7567,0.8702,0.8819,0.2601,0.3421,0.5100,0.4369,0.6883,0.6298
MLPRegressor,0.6240,0.6164,0.7899,-0.5942,0.5289,0.5264,0.5076,0.5833,0.7124,-0.0989,0.3731,0.3876
