,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1762,0.3367,0.4198,0.5497,0.7454,0.7389,0.2334,0.3804,0.4831,0.4947,0.7109,0.6534
DecisionTreeRegressor,0.2129,0.3483,0.4614,0.4561,0.7299,0.7245,0.2307,0.3604,0.4803,0.5005,0.7111,0.6563
RandomForestRegressor,0.1679,0.3315,0.4098,0.5710,0.7655,0.7608,0.2647,0.3893,0.5145,0.4270,0.6587,0.6328
GradientBoostingRegressor,0.1438,0.3079,0.3792,0.6326,0.7954,0.7845,0.2393,0.3620,0.4892,0.4820,0.6964,0.6520
AdaBoostRegressor,0.1689,0.3427,0.4110,0.5684,0.7746,0.7637,0.2650,0.4029,0.5148,0.4263,0.6769,0.6101
XGBRegressor,0.1715,0.3232,0.4141,0.5618,0.7564,0.7539,0.2774,0.3857,0.5267,0.3994,0.6437,0.5869
ExtraTreesRegressor,0.1710,0.3117,0.4135,0.5632,0.7520,0.7592,0.2195,0.3597,0.4685,0.5247,0.7300,0.6767
LinearRegression,1.5337,0.9278,1.2384,-2.9186,0.2158,0.2667,1.2601,0.8426,1.1225,-1.7282,0.1911,0.2083
KNeighborsRegressor,0.3059,0.4131,0.5531,0.2184,0.5539,0.5873,0.3399,0.3992,0.5830,0.2641,0.5414,0.5040
SVR,0.2676,0.4098,0.5173,0.3164,0.5692,0.5707,0.2576,0.3853,0.5075,0.4424,0.6787,0.6058
MLPRegressor,1.0069,0.7476,1.0034,-1.5726,0.2516,0.2620,0.4391,0.4754,0.6626,0.0494,0.5585,0.5446
