,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1762,0.3367,0.4198,0.5497,0.7454,0.7389,0.2334,0.3804,0.4831,0.4947,0.7109,0.6534
DecisionTreeRegressor,0.2258,0.3627,0.4752,0.4231,0.7224,0.7098,0.2302,0.3519,0.4797,0.5017,0.7119,0.6432
RandomForestRegressor,0.1698,0.3325,0.4121,0.5660,0.7614,0.7589,0.2616,0.3871,0.5115,0.4336,0.6642,0.6237
GradientBoostingRegressor,0.1437,0.3063,0.3791,0.6328,0.7955,0.7854,0.2417,0.3607,0.4916,0.4768,0.6933,0.6528
AdaBoostRegressor,0.1901,0.3612,0.4360,0.5144,0.7288,0.7245,0.2498,0.3866,0.4998,0.4591,0.7064,0.6408
XGBRegressor,0.1715,0.3232,0.4141,0.5618,0.7564,0.7539,0.2774,0.3857,0.5267,0.3994,0.6437,0.5869
ExtraTreesRegressor,0.1696,0.3125,0.4118,0.5668,0.7544,0.7518,0.2173,0.3560,0.4661,0.5296,0.7332,0.6909
LinearRegression,1.5337,0.9278,1.2384,-2.9186,0.2158,0.2667,1.2601,0.8426,1.1225,-1.7282,0.1911,0.2083
KNeighborsRegressor,0.3059,0.4131,0.5531,0.2184,0.5539,0.5873,0.3399,0.3992,0.5830,0.2641,0.5414,0.5040
SVR,0.2676,0.4098,0.5173,0.3164,0.5692,0.5706,0.2574,0.3853,0.5074,0.4427,0.6790,0.6058
MLPRegressor,1.0635,0.7581,1.0312,-1.7171,0.2011,0.2120,0.4713,0.4748,0.6865,-0.0203,0.5249,0.5444
