,Train MSE (5 fold cv),Train MAE (5 fold cv),Train RMSE (5 fold cv),Train R2 (5 fold cv),Train PCC (5 fold cv),Train SCC (5 fold cv),Test MSE,Test MAE,Test RMSE,Test R2,Test Pearson Correlation,Test Spearman Correlation
LGBMRegressor,0.1813,0.3599,0.4258,0.5367,0.7368,0.7139,0.2687,0.4049,0.5184,0.4182,0.6481,0.5977
DecisionTreeRegressor,0.2908,0.4161,0.5392,0.2570,0.6191,0.5940,0.3091,0.3896,0.5560,0.3308,0.6025,0.5841
RandomForestRegressor,0.1561,0.3169,0.3951,0.6011,0.7788,0.7589,0.2846,0.3994,0.5335,0.3838,0.6263,0.5472
GradientBoostingRegressor,0.1484,0.3061,0.3852,0.6209,0.7889,0.7757,0.2896,0.3936,0.5381,0.3731,0.6224,0.5626
AdaBoostRegressor,0.1692,0.3371,0.4114,0.5676,0.7646,0.7482,0.2835,0.4094,0.5325,0.3861,0.6348,0.5216
XGBRegressor,0.1663,0.3237,0.4078,0.5750,0.7669,0.7427,0.2960,0.4070,0.5440,0.3593,0.6148,0.5703
ExtraTreesRegressor,0.1467,0.2967,0.3830,0.6253,0.7912,0.7631,0.2725,0.3932,0.5220,0.4101,0.6528,0.5678
LinearRegression,0.8600,0.5746,0.9274,-1.1973,0.3507,0.4933,0.4286,0.4399,0.6547,0.0721,0.6633,0.6656
KNeighborsRegressor,0.1809,0.3299,0.4253,0.5378,0.7466,0.7339,0.2657,0.3640,0.5154,0.4248,0.6693,0.6261
SVR,0.2395,0.3911,0.4894,0.3880,0.6330,0.6054,0.2596,0.3845,0.5095,0.4381,0.6855,0.5899
MLPRegressor,0.3181,0.4286,0.5640,0.1872,0.5692,0.5864,0.3328,0.4302,0.5769,0.2795,0.6193,0.5406
